anaoxygenic photosynthesis	A type of photosynthesis in green and purple bacteria in which oxygen is not produced
saturated	Describes a molecule containing carbon–carbon bonds that has only single covalent bonds.
vector	In cell biology, an agent that can carry DNA into a cell or organism
ergotism	ergot poisoning, of two main types in man: the gangrenous and the convulsive; historically known as `St
nuclear transfer	laboratory procedure in which a cell's nucleus is removed and placed into an egg cell that has had its own nucleus removed
initiation factors	Those protein factors that are specifically required during the initiation phase of protein synthesis.
plasma	The fluid portion of blood.
anaerobic	(i) Absence of molecular oxygen
turnover number	The maximum number of molecules of substrate that can be converted to product per active site per unit time.
scarified	a surface with irregular depressions, as if clawed or scratched.
callosity	a thick swollen lump, harder than its surroundings: = callous: also a rather flattened elevation not necessarily harder than the surrounding tissue.
costulatus	less prominently ribbed than costate.
amastigote	Small, round, intracellular stage of Leishmania spp
hairy root culture	A plant culture system based on highly branched roots generated by plant tissue with agrobacterium rhizogenes
chromogenic	Producing color; a chromogenic colony is a pigmented colony.
b1	A cross in which an F1 or F1' individual is mated to one of its parents (P1) or to another individual that is genetically identical to one of its parents.
mtck	See mitochondrial creatine kinase.
neutrophil	The most abundant type of white blood cell
nitrogen fixation	The assimilation of atmospheric nitrogen by certain prokaryotes into nitrogenous compounds that can be directly used by plants.
eudismic ratio	Eudismic ratio is the potency of the eutomer relative to that of the distomer.
intragenic complementation	The ability of two mutant forms of a gene, neither of which produce an active gene product, to produce a functional or partially functional gene product
blunt end	Piece of DNA that has been cleaved with a restriction enzyme which has left the 3' end of one strand flush with the 5' end of the other strand.
lysozyme	An enzyme that hydrolyzes the peptidoglycan within the cell walls of bacteria.
pododunera	apterous insects with biting mouth structures.
nernst equation	Mathematical expression that defines the electric potential E across a membrane as directly proportional to the logarithm of the ratio of the ion concentrations on either side of the membrane and inversely proportional to the valency of the ions.
key adaptation	An adaptation that provides the basis for using a new, substantially different habitat or resource.
favus	a cell like that of a honeycomb.
sarcoma	Cancer of connective tissue.
calorie	The amount of heat required to raise the temperature of 1.0 g of water from 14.5 to 15.5 °
rheumatic fever	An inflammatory autoimmune disease triggered by an immune response to infection by Streptococcus pyogenes.
hydrophilic molecule	A polar compound that forms hydrogen bonds with water and dissolves easily in water.
peptide nucleic acid	A DNA mimic that incorporates a peptide-like polyamide backbone.
diagnosis	/die-ag-NOE-səs, die-əg-/ n
plasmalogen	A phospholipid with an alkenyl ether substituent on the C-1 of glycerol.
compound ascoma	a teleomorphic fructification incorporating several to many distinct ascomata on or in a single structure, as in the Clavicipitales and Xylariales.
epididymis	Part of the male reproductive system
homophonous	words differently written but indistinguishable in sound, applied to different conceptions.
minimal medium	see MEDIUM.
unidentate	with one tooth only.
intensive property	An intensive property is one where the property is independent of the size of the system
plaga	a spot, stripe or streak of color; a longitudinal spot of irregular form.
lysosome	An organelle that contains hydrolytic enzymes designed to break down proteins that are targeted to that organelle.
patch-clamp	A technique that uses a microelectrode to record current flow across a membrane.
epipleural fold	the raised lower edge of the epipleura: see hypomera.
monosomic	Having one less chromosome than the normal diploid number; missing a chromosome of one homologous pair.
tetragonal	having four sides or angles: quadrangular.
quantum	The ultimate unit of energy.
principle of superposition	The idea that in deposits of sedimentary rock the oldest deposits are on the bottom and the youngest deposits are on the top
cki	see Cdk inhibitor protein
reduction	A process by which a compound accepts electrons to become reduced.
direct relative	Relative in direct line of descent.
first law of thermodynamics	The law stating that in all processes, the total energy of the universe remains constant.
cenozoic era	The period of geologic time beginning after the end of the
biogenesis	The theory that living systems arise only from pre-existent living systems.
primary production	The amount of light energy from the sun converted to chemical energy (organic compounds) by autotrophs (e.g
complex iv	One of the electron transport chain proteins
substrate	A molecule acted upon by an enzyme.
heterotroph	An organism that cannot use inorganic materials to synthesize the organic compounds needed for growth but obtains them by feeding on other organisms or their products, such as a carnivore, herbivore, parasite, scavenger, or saprophyte.
cariose -ous	corroded; appearing as if worm-eaten.
corticosteroids	Steroid hormones formed by the adrenal cortex.
vacuole	organelle that stores materials such as water, salts, proteins, and carbohydrates.
first principle molecular dynamics	The use of quantum chemical interactions to simulate the motion of molecules.
biogenetic law	The concept that stages in the development of an individual (ontogeny) recapitulate the evolutionary history (phylogeny) of the species
fluorescence energy transfer	Transfer of energy between two fluorophors.
divergent evolution	/də-VERJ-ənt, die-/ adj
gymnosperms	Non-flowering seed plants, for example, pine.
carnivores	Flesh eaters; organisms (almost entirely animal, rarely plant) that feed on animals.
albinic	of the character of an albino.
electron microscope	A high-powered, expensive device that uses beams of electrons to bring the finest details of cells into focus.
hydrogen bond	A weak, noncovalent, attractive force between one electronegative atom and a hydrogen atom that is covalently linked to a second electronegative atom.
gene	The genetic unit of function
electron carrier	A protein, such as a ilavoprotein or a cytochrome, that can reversibly gain and lose electrons; funetions in the transfer of electrons from organic nutrients to oxygen or some other terminal acceptor.
vaccination	Artificial introduction of a killed or attenuated pathogen to promote protective immunity
fret	see fluorescent resonance energy transfer
falciform	curved like a sickle.
scariose -ous	dry and scaly.
carbon dioxide equilibrium curve	In relation to the CO2-carrying properties of blood, a graph of the total carbon dioxide concentration as a function of the CO2 partial pressure of the blood
hvtn	HIV Vaccine Trials Network
cytochrome b-c1 complex	Another term for Complex III.
catabolism	That part of metabolism that is concerned with degradation reactions.
mantle	A fold of tissue in molluscs that drapes over the visceral mass and may secrete a shell.
book lung	A set of soft overlapping flaps, covered up by a plate on the abdomen, through which oxygen is taken up and carbon dioxide given off
bombifrons	front of head with a blister-like protuberance.
theria	The viviparous mammalian subclass, consisting of marsupials and placentals.
environment	The place in which an organism lives, and the circumstances under which it lives
conidiation	the process of producing conidia.
germ-plasm theory	States that cells in the reproductive organs carry a complete set of genetic information.
enzyme	A molecule—usually a protein—that catalyzes a chemical reaction in which covalent bonds are made or broken.
internal environment	The environment of the cells within an animal’s body
chlorophyll	A green photosynthetic pigment that is made of a magnesium dihydroporphyrin complex.
vegetative reproduction	Cloning of plants by asexual means.
lock-and-key model	A model of enzyme action in which the substrate fits precisely into the enzyme active site.
rna polymerase ii holoenzyme	Large pre-assumbled complex of RNA polymerase II, most of the general transcription factors required for its function, and the mediator protein complex.
post-oral	behind the mouth; those segments bearing mouth structures.
rectum adj. rectal	the final part of the intestines that ends at the anus
aerobic	The use of molecular oxygen for reactions that provide growth energy from the oxidative breakdown of food molecules.
resonance hybrid	A molecular structure that is a hybrid of two structures that differ in the locations of some of the electrons
transcript	RNA product of DNA transcription.
cgn	see cis Golgi network
homonymous	pertaining to homology of parts arranged on a transverse axis similarly developed and of equal function.
clone	Cells derived from a single cell and thus expected to be genetically identical.
risk	the chance or probability that a particular event will or will not happen
fetal antigen	An embryonic antigen that may be re-expressed in cancer.
regulon	A group of genes or operons located at different positions on the chromosome but respond to a common regulatory protein.
boreal	adj
atrocoeruleus	very deep, blackish, sky-blue.
retinoblastoma	A tumor of the retina.
gross primary productivity	The total primary productivity of an ecosystem.
life cycle	The entire sequence of stages in the life of an organisms, from the adults of one generation to the adults of the next.
copy number	The number of molecules of a particular plasmid present in a bacterium.
specificity	The ability of the immune response to interact with individual antigens.
rapid-equilibrium approximation	To simplify the quantitative description of enzyme action, a number of assumptions are invoked
purkinje cells	A specific type of nerve cell that carries each and every piece of information sent out by the cerebellum
andesite	Igneous volcanic rock, less mafic than basalt, but more mafic than dacite; rough volcanic equivalent of diorite.
phospholipid	A molecule that is a constituent of the inner bilayer of biological membranes, having a polar, hydrophilic head and a nonpolar, hydrophobic tail.
cranial nerve	A nerve that leaves the brain and innervates an organ of the head or upper body
denaturation	Process that separates the strands of doublestranded DNA when DNA is heated.
annealing	Pairing of a single-stranded nucleic acid with the complementary strand to form a duplex.
kilojoule	Standard unit of energy equal to 1000 joules, or 0.24 kilocalories.
addorsal	close to but not quite on the middle of the dorsum.
null hypothesis	In statistical analysis, a hypothesis proposing that there is no statistically significant difference between the observed results of an experiment and the expected results.
magma	n
intergenic suppressor	Restoration of partial or complete wild-type phenotype by second mutation in a different gene than a primary mutation which resulted in a negative phenotype
transesterification	Chemical reaction in some RNA splicing reactions.
systematic name	In enzyme nomenclature, a name that precisely defines the catalytic activity of an enzyme
ames test	A simple bacterial test for carcinogens, based on the assumption that carcinogens are mutagens.
prosthetic group	A metal ion or an organic compound (other than an amino acid) that is covalently bound to a protein and is essential to its activity.
matter	anything takes up space and has mass
cgmp	See cyclic guanosine monophosphate.
transmitting ability	One-half the breeding value of an individual
las	Lymphadenopathy Syndrome
mg2+	See Magnesium ion.
epidemiologist	Someone who studies epidemiology.
paroxetine	A member of the class of drugs known as selective serotonin reuptake inhibitors (SSRIs)
laevis -igatus	smooth, shining and without elevations: said of a surface.
nucleoside monophosphate kinase	An enzyme that catalyzes the transfer of the terminal phosphate of ATP to a nucleoside 5'-monophosphate.
coenzyme	Low-molecular-weight chemical which participates in an enzymatic reaction by accepting and donating electrons or functional groups.
attomole	One quintillionth mole; 10-18 mole.
hap-1	huntingtin-associated protein-1
metabolism	sum of al the chemical processes that occur in a living organism and keep it alive.
5-hydroxyindoleacetic acid	A molecule that is made from serotonin
sinkhole	n
bond strength	The strength with which a chemical bond holds two atoms together; conventionally measured in terms of the amount of energy, in kilocalories per mole, required to break the bond.
acidophile	An organism that grows optimally at acidic (low) pH values (usually below 6, sometimes as low as 1) and grows poorly or not at all under higher pH conditions (i.e
toxigenic	producing toxins.
fixed act	A simple all-or-none behavioral response to a stimulus
chemical formula	symbolic way to represent the elementary composition of a substance, indicating the kinds and numbers of atoms present in a molecule
polysaccharide	A long chain of monosaccharides (sugars) linked by glycosidic bonds.
mhc ii	Proteins that bind to and "present" proteins of foreign substances on the surface of cells for recognition by other immune cells.
neurotrophic factor	A protein in the nervous system that promotes the growth of nerve cells.
primary coolant	liquid that comes in direct contact with the nuclear reactor core to carry away heat
glyoxysome	An organelle containing some enzymes of the glyoxylate cycle.
unbalanced data	An experimental outcome in which there are unequal numbers of observations within each group, especially in ANOVA.
leydig cell	A cell that produces testosterone and other androgens and is located between the seminiferous tubules of the testes.
evolutionary species concept	The idea that evolutionary lineages and ecological roles can form the basis of species identification.
chemical compound libraries	These are collections of thousands of different molecular compounds each of which has the potential to interact with biological targets.
carbon film	Thin layer of carbon remains of past life found in sedimentary rocks.
riluzole	A drug that has been shown to have energy buffering and anti-glutamate properties
domain	Region of a protein with a distinct tertiary structure (e.g., globular or rodlike) and characteristic activity; homologous domains may occur in different proteins.
morphogenesis	Literally the origin of form
capillaceous	capilla or hair-like.
photosystem	Multiprotein complex involved in photosynthesis that captures the energy of sunlight and converts it to useful forms of energy.
anabolism	System of biosynthetic reactions in a cell by which large molecules are made from smaller ones.
nutrient broth	A general-purpose liquid basal medium composed of e.g
reducing equivalent	A general or neutral term for an electron or an electron equivalent in the form of a hydrogen atom or a hydride ion.
electroporation	A method for transferring DNA (or other small molecules) into cells by exposure to a rapid pulse of high voltage, which causes the transient formation of small pores in the cell membrane.
pin	Type of distylic flower possessing a long style and short anthers.
chi-square test	A statistical test that allows one to determine whether observed quantities of a specific characteristic differed from the expected value purely by chance.
isoelectric focusing	An electrophoretic method for separating macromolecules on the basis of their isoelectric pH.
crossing-over	see chromosomal crossing-over
analogy	The similarity of structure between two species that are not closely related; attributable to convergent evolution.
obsessive-compulsive disorder	An anxiety disorder characterized by repeated, upsetting thoughts called obsessions and by repetitive behaviors aimed at reducing the obsessions.
transcription	The enzymatic process whereby the genetic information contained in one strand of DNA is used to specify a complementary sequence of bases in an mRNA chain.
enzyme	protein that acts as a catalyst for specific biochemical reaction, converting specific substrates into chemically distinct products.
cag codon	The codon (particular sequence of letters) in the DNA code that is repeated 40 or more times along part of the Huntington gene in people who have Huntington's disease.
keratins	Insoluble protective or structural proteins consisting of parallel polypeptide chains in α-helical or β conformations.
gas exchange	The uptake of molecular oxygen from the environment and the discharge of carbon dioxide to the environment.
monosomy	Absence of one of the chromosomes of a homologous pair.
breccia	n
regulatory enzyme	An enzyme in which the active site is subject to regulation by factors other than the enzyme substrate
survival factor	Extracellular signal required for a cell to survive; in its absence the cell will undergo apoptosis and die.
phase change	A shift from one developmental phase to another.
refolding chromatography	A chromatographic technique for the rescue of misfolded proteins that have aggregated and become insoluble.
arenose	a surface that is sandy or gritty.
pupiparous	bringing forth young ready to pupate.
autoimmunity	Immune reactions of a host against its own self constituents.
monounsaturated fat	A type of unsaturated fat in which there is only one double bond.
endoplasmic reticulum	(ER) network of membranes in eukaryotic cells which helps in control of protein synthesis and cellular organization.
additive theorem	The probability of the occurrence of one of several mutually exclusive events is the sum of probabilities associated with each individual event.
heat	total amount of kinetic energy due to molecular motion in a body of matter
lime water	chemical solution used to detect the presence of carbon dioxide.
gerontogeic	belonging to the old world: see neogeic.
protein	An important kind of molecule in the human body, consisting of a sequence of amino acids
frustule	The mineral "skeleton" of a diatom or other unicellular organism.
cytochrome b-c1 complex	Second of the three electron-driven proton pumps in the respiratory chain
isomers	One of several organic compounds with the same molecular formula but different structures and therefore different properties
vitamin	A trace organic substance required in the diet of some species
affinity	See enzyme–substrate affinity, oxygen affinity.
sigmoid	shaped like the Greek letter sigma, or English S.
endothermic	Referring to organisms with bodies that are warmed by heat generated by metabolism
telophase	Final stage of mitosis in which the two sets of separated chromosomes decondense and become enclosed by nuclear envelopes.
activation energy	energy necessary to initiate a chemical reaction
oxidizing agent	The electron acceptor in a redox reaction.
antibiotic	Substance such as penicillin or streptomycin that is toxic to microorganisms
β oxidation	Oxidative degradation of fatty acids into acetyl-CoA by successive oxidations at the β-carbon atom.
mitosis	The process of nuclear division in eukaryotes
predictive testing	Predictive testing determines whether the genetic sequence that causes HD is present or absent (also called genetic testing).
adrenal cortex	The outer portion of the adrenal gland
sporangiophore	specialized hyphal branch bearing one or more sporangia in Oomycetes, Zygomycetes, etc.
flavin-mononucleotide	A coenzyme synthesized from riboflavin
dentary	/DENT-er-ee/ n
acceptor control	The regulation of the rate of respiration by the availability of ADP as phosphate group acceptor.
kanamycin	An antibiotic that inhibits protein synthesis by binding to the 30s ribosomal subunit and preventing translocation
caudad	toward the posterior end of the body, along the median line.
auxiliary	additional, or supplementing.
prokaryotes	Organisms — such as bacteria and blue-green algae — with cells that do not contain a nucleus.
in situ	A Latin phrase meaning "in the original place"
element	Any substance that cannot be broken down to any other substance.
positive cooperativity	A phenomenon of some multisubunit enzymes or proteins in which binding of a ligand or substrate to one subunit facilitates binding to another subunit.
bioenergetics	The study of how organisms manage their energy resources.
gene cloning	The isolation of a desired gene from one organism and its incorporation into a suitable vector for the production of large amounts of the gene.
acetoclastis	The process of splitting acetate into methane and carbon dioxide by s ome methanogens.
summer spores	(of rust fungi) see UREDINIOSPORES.
antiport	A type of cotransport in which a membrane protein (antiporter) transports two different molecules or ions across a cell membrane in opposite directions
drug delivery	The delivery of a drug to the site of action
milligram	one-thousandth of a gram: written as `mg'.
dominance	Relations within a group in which one or more individuals, sustained by aggression or other behaviors, rank higher than others in controlling the conduct of group members.
autoimmune disease	A pathological state in which the body mounts an immune response against one or more of its own potential antigens.
calorimeter	device with which the quantity of heat energy released in a combustion reaction can be determined experimentally
ureter	A duct leading from the kidney to the urinary bladder.
acquired immunodeficiency syndrome	Serve immune deficiency disease caused by human immunodeficiency virus (HIV-1) infection of the T cells, characterized by opportunistic infections and other complications.
renal cortex	The outer portion of the vertebrate kidney
primary structure	In an informational macromolecule, such as a polypeptide or a nucleic acid, the pricise sequence of monomeric units.
protease	An enzyme that degrades proteins to peptides or amino acids.
solid	applied to an organ usually jointed, when these joints form into one mass; e.g
variation	Differences between members of the same species.
carotenoids	Lipid-soluble photosynthetic pigments made up of isoprene units.
lymphocytes	Two classes of white blood cells that can recognize foreign molecules (antigens) and mediate immune responses
lesion mimics	Also known as 'disease lesion mimics', this describes a class of phenotypes in which spontaneous cell death occurs as discrete 'zones' or 'lesions' that resemble the cell death that is observed during the hypersensitive response.
pathogen	(adjective pathogenic) An organism or other agent that causes disease.
gene amplification	see amplification.
node	For plants, the area of the stem where the leaves arise.
positional information	Information supplied to or possessed by cells according to their position in a multicellular organism
buffers	A substance that consists of acid and base forms in a solution and that minimizes changes in pH when extraneous acids or bases are added to the solution.
tetracycline	an antibiotic drug that is used for medicine and for research
archae	One of the three domains of living organisms: Archae, Bacteria, and Eukarya
hsv	Herpes Simplex Virus
granum	A stacked portion of the thylakoid membrane in the chloroplast
organelles	the production of specialized proteins and lipids, and the generation of a thick protein envelope just inside the cell membrane
polypeptide	A series of many amino acids linked together by peptide bonds
acetyl-coa	In cellular metabolism, the substance that enters the Kreb's cycle to be further broken down to produce energy
avogadro's number	The number of molecules in a gram molecular weight of any compound (6.023 x 1023).
trans configuration	Arrangement in which each chromosome contains one wild-type (dominant) gene and one mutant (recessive) gene.
saturated fatty acid	A fatty acid containing a fully saturated alkyl chain.
agar	A complex polysaccharide which is widely used as a gelling agent used to prepare solid or semi-solid microbiological medium
protein subunit	One of the components or monomers of a multicomponent protein.
peptide bond	Chemical bond between the carbonyl group of one amino acid and the amino group of a second amino acid—a special form of amide linkage
glycation	A non-enzymatic reaction that adds a carbohydrate group to a protein or peptide.
peripheral proteins	are not embedded in the lipid bilayer at all
isomers	Molecules that are formed from the same atoms in the same chemical linkages but have different three-dimensional conformations
lower margin	of tegmina (Thomas), is the costal or anterior margin of other authors.
chomosome painting	The identification of chromosomes using combinatorially labeled fluorescent chromosomal probes in a wide array of colors
trihybrid cross	A cross between two individuals that differ in three characteristics (AA BB CC X aa bb cc); also refers to a cross between two individuals that are both heterozygous at three loci (Aa Bb Cc X Aa Bb Cc).
island arc	n
piezoelectric	A material capable of transducing mechanical output to electrical signals or, alternatively, electrical signals to mechanical output
molecular clock	An evolutionary timing method based on the observation that at least some regions of genomes evolve at constant rates.
oviducts	Tube from the ovary to the uterus
cyclic photophosphorylation	Formation of ATP when light energy is used to move electrons cyclically through an electron transport chain during photosynthesis.
soma	See nerve cell body.
lepidoptera	Insects such as butterflies and moths.
t cell receptor	The antigen-specific receptor on the surface of T lymphocytes.
chemical equation	representation of a chemical reaction using chemical formulas
partial pressure	A measure of the concentration of one gas in a mixture of gases; the pressure exerted by a particular gas in a mixture of gases (for instance, the pressure exerted by oxygen in air).
hexose	A simple sugar with a backbone containing six carbon atoms
http://huntington-study-group.org/]	http://huntington-study-group.org/]
oligosaccharide	Short linear or branched chain of covalently linked sugars (see Panel 2–4, pp
neocortex	In the mammalian brain, the outermost region of the cerebral cortex.
entozoa	those animals that live within the body of others.
phosphatidylinositol-3-phosphate	(PtdIns3P)
secondary structure	Regular local folding pattern of a polymeric molecule
scrotiform	purse-shaped.
herbicide	a substance which kills plants.
short-day plant	A plant that flowers, usually in late summer, fall, or winter, only when the light period is shorter than a critical length.
conditional probability	Probability of occurrence of one event given that another event has occur.
calorie	Unit of heat
drumlin	n
condensed structural formula	chemical formula in which bonds are not drawn out explicitly, but simply understood to contain an appropriate number of bonds
ion	An atom that has gained or lost electrons, thus acquiring a charge.
hyphochytriomycota	Phylum of Chromistan fungi with anteriorly uniflagellate zoospores; hence, hyphochytrid.
anchorage dependence	The requirement to divide, a cell must be attached to the substratum.
uterus	A female organ where eggs are fertilized and/or development of the young occurs.
erythrocyte	Small, hemoglobin-containing blood cell of vertebrates that transports oxygen and carbon dioxide to and from tissues.
effector cell	A cell that carries out the final response or function of a particular process
genus	n
photophosphorylation	Synthesis of high-energy phosphate bonds as ATP, using light energy.
percent	parts per hundred; sometimes abbreviated as pph
immunogenicity	The capacity to elicit an immune response, such as the production of specific antibodies.
antennal organs	in Collembola are sensory structures on the distal segment.
locus	A particular location in the DNA, but not necessarily a gene (plural: loci).
deproteinization	The removal of protein from a sample.
carpals	The bones that make up the wrist joint.
social dominance	A hierarchical pattern of social organization involving domination of some members of a group by other members in a relatively orderly and long-lasting pattern.
aphasia	Partial or complete inability to speak or understand spoken words.
nitrogen cycle	set of chemical pathways whereby nitrogen moves through the biosphere
polymorphism	Two or more alleles existing in a population at a particular locus.
recombination frequency	Proportion of recombinant progeny produced in a cross.
ecosystem services	Functions performed by natural ecosystems that directly or indirectly benefit humans.
heterotroph	In reference to carbon source - an organism that uses reduced, preformed organic molecules as its principal carbon source.Compare with autotroph, lithotroph, organotroph, and phototroph.
ascocarp	A fruiting body containing ascospores.
covalent bond	A stable bond between atoms based on the sharing of electrons.
mammilla	n
carpels	The female reproductive structures of a flower
periodic properties	regular recurrence of certain chemical aspects of atoms that is demonstrated with increasing atomic number
thymus gland	The thymus gland lies at the root of the neck behind the breastbone
squamous cells	Flat cells that constitute the surface of the skin.
matrix	A medium in which things are formed, developed, or embedded.
antimetabolite	A substance that prevents utilization of a metabolite.
halons	compounds similar to CFCs, in which bromine or fluorine atoms replace some or all of the chlorine atoms
dna	"deoxyribonucleic acid"
dorsal glands	see last preceding title.
ionic regulation	The maintenance of a constant or nearly constant concentration of an inorganic ion in the blood plasma regardless of the concentration of that ion in the external environment.
radioactive isotope	An isotopic form of an element with an unstable nucleus that stabilizes itself by emitting ionizing radiation.
oxido-reductase	An enzyme that catalyzes oxidation-reduction reactions.
proprietary database	A copyrighted database accessible by subscription.
acaudal -ate	without a tail.
morula	A solid ball of blastomeres formed by early cleavage.
depurination	Break in the covalent bond connecting a purine base to the 1'-carbon atom of the deoxyribose sugar, resulting in the loss of the purine base
white rot	a wood rot produced by basidiomycetes that can degrade both cellulose and lignin.
gymnosperms	A group of vascular plants with seeds unenclosed in an ovary (naked); mainly cone-bearing trees.
cytokinin	A plant hormone produced in root tissue.
peptide	A description of two linked amino acids.
phytohormone	A plant hormone.
induced fit	A model of enzyme action in which the configurations of both the enzyme and the substrate are altered by substrate binding.
genetic engineering	Common term for recombinant DNA technology.
fatty acid	Any hydrocarbon chain that has a carboxyl group at one end; a major source of energy during metabolism and precursors for synthesis of phospholipids
osmosis	A mechanism that moves water and nutrients into and throughout a plant.
deconvolution	An algorithm-based method for eliminating noise and improving the resolution of digital data
photolithography	A process that utilizes selective masking to generate light patterns that direct chemical transformations within a photosensitive surface.
template	A molecule whose structure is a pattern for the synthesis of a complementary molecule.
glycosylation	The process of adding one or more sugars to a protein or lipid molecule
saponin	A glycosidic surfactant produced by plant cells.
thermophile	An organism that thrives at temperatures above those where life normally can be found
hydrophobic	Preferring not to be in contact with water, as is the case with the hydrocarbon portion of a fatty acid or phospholipid chain.
sorting signal	Amino acid sequence that directs the delivery of a protein to a specific location outside the cytosol.
aglomerular	Lacking a glomerulus.
interspecific interaction	Relationships between species of a community
fmn	Abbreviation for Flavin-mononucleotide.
growth regulator	see plant growth regulator
wax-glands	any glands in any part of the body which secrete a waxy product in either a scale, string or powder: in Coccidae, the circumgenital and parastigmatic glands; q.v.
transduction	(1) In the study of energy, the transformation of one form of energy into another
activation energy	The amount of energy (in joules) required to convert all the molecules in 1 mole of a reacting substance from the ground state to the transition state.
ion	An atom or molecule with an unequal number of protons and electrons
chemogenomics	The integration of genomic, biological activity, and drug molecule data with pharmacology and toxicology information.
streptobacilli	Rods that remain attached in chains after cell division.
aplastic anemia	Decrease in the numbers of all elements in the blood due to the death of their precursor cells in the bone marrow, where the cells usually mature; often associated with drugs which are toxic to these cells.
securiform	triangular-compressed; like the blade of a hatchet.
immune complex disease	A disorder characterized by the presence of immune complexes in bodily fluids.
coleoptile	The covering of the young shoot of the embryo of a grass seed.
nuclease	An enzyme that cleaves phosphodiester bonds of nucleic acids.
neurotoxic	A substance that damages or destroys nerve tissue.
intorted	turned or twisted inwardly.
homologous pair of chromosomes	Two chromosomes that are alike in structure and size and that carry genetic information for the same set of hereditary characteristics
pseudoparenchymatous	describes `tissue' made up of very densely packed fungal hyphae which in mass have come to resemble a perithecial ascoma.
base	Nitrogen-containing base that is one of the three parts of a nucleotide.
blast	Heuristic homology search algorithm
pribnow box	The consensus sequence TATAAT located approximately 10 base pairs upstream from the transcriptional start site.
reformulated gasolines	oxygenated gasolines that also contain a lower percentage of certain more volatile hydrocarbons such as benzene found in nonoxygenated conventional gasoline
tetrabenazine	A dopamine depletor used to treat chorea.
entomophily	Seed plants which are pollinated by insects are said to be entomophilous.
uterus	The female reproductive organ where the fertilized egg implants and the growing embryo is nourished.
host range	Other viruses, such as rabies virus, can infect different species of mammals and are said to have a broad range.
neurological	Having to do with the nervous system and/or nerve cells.
glycan	A polymer consisting of monosaccharides linked together by glycosidic bonds.
adaptation	Change in a organism resulting from natural selection; a structure which is the result of such selection.
class switching	The change from making one class of immunoglobulin (for example IgM) to making another class (for example IgG) that many B cells undergo during the course of an immune response.
signal transduction	Conditions that alter the conformation of a protein which regulates expression of other genes
personate	gaping wide open; masked; disguised.
oxidation potential	The voltage change when an atom or molecule loses an electron.
anabolic	An energy-requiring biochemical process that synthesizes complex molecules from simpler reactants.
homogametic	Containing two copies of one form of the sex chromosomes.
thorax	In insects, the second body region, between the head and thorax
semitropical or gulf strip	is the southern part of the Austro-riparian area extends from Texas to Southern Florida, covers a narrow strip in So
side chain	The part of an amino acid that differs between different amino acids, giving the amino acid its unique physical and chemical properties.
life table	A table of data summarizing mortality in a population.
specialized cells	Cells that are committed to a specific function (e.g., muscles cells, skin cells).
transport vesicles	Small membrane-bounded organelles that carry secretory and membrane proteins in both directions between the rough endoplasmic reticulum (ER) and the Golgi complex, and from the Golgi to the cell surface or other destination
phytoplankton	Tiny, free-floating, photosynthetic organisms in aquatic systems
synthases	Enzymes that catalyze condensation reactions in which no nucleoside triphosphate is required as an energy source.
carcinogenic	A substance that causes cancer
cholesterol	kuh-LEST-uh-rawl/ The most important sterol in animals
community age	One of the factors that helps cause the latitudinal diversity gradient
nucleoside	A compound consisting of a purine or pyrimidine base covalently linked to a pentose.
lipid bilayer	Model for the structure of the cell membrane based on the interaction between the hydrophobic regions of phospholipids.
soluble support	A support for a reaction that is soluble under reaction conditions, but readily separable by some simple process
hydrophobic interactions	The association of nonpolar groups, or compounds, with each other in aqueous systems, driven by the tendency of the surrounding water molecules to seek their most stable (disordered) state.
reproductive cells	egg and sperm cells
carbocation	A positively charged carbon atom; also called a carbonium ion.
opisthogoneate	having the organs of generation at hind end of body.
phosphate	One of the molecular components of a nucleotide; a small molecule made up of phosphorus and oxygen.
brush border	Dense covering of microvilli on the apical surface of epithelial cells in the intestine and kidney
calorie	The amount of heat energy required to raise the temperature of 1 g of water by 1°C; also the amount of heat energy that I g of water releases when it cools by 1°C
paternally	From or related to the father of an individual
acephalous	without a head.
cytochromes	Proteins containing iron-porphyrin (heme) complexes that function as hydrogen or electron carriers in respiration and photosynthesis.
species	In microbiology, a collection of closely related strains sufficiently different from all other strains to be recognized as a distinct unit.
allotropes	two or more forms of the same element that differ in their chemical structure and therefore in their properties
coinheritance frequency	The ratio of recombinants that acquire both the selected and unselected marker vs the total number of recombinants.
tertiary structure	Complex three-dimensional form of a folded polymer chain, especially a protein or RNA molecule.
antagonism	Diminution of activity of one drug by a second one.
catabolic pathway	A metabolic pathway that releases energy by breaking down complex molecules to simpler compounds.
chondrin	CAWN-drin, -druhn/ A gelatinous protein-carbohydrate complex present in cartilage.
monomer	The subunit that serves as the building block of a polymer.
cleidoic egg	Metaphorically, a cleidoic egg is a “locked box” (cleido, “key”) (in contrast to an egg that exchanges nutrients with its surroundings throughout development)
polar	Hydrophilic, or "water-loving"; describing molecules or groups that are soluble in water.
potential energy	energy that is stored
antigeny	opposition or antagonism of the sexes; embracing all forms of secondary sexual diversity.
n-type semiconductor	in which there are freely-moving negative charges, the electrons
valence	The bonding capacity of an atom, generally equal to the number of unpaired electrons in the atom's outermost shell.
stop codon	A UAG, UAA
plasma proteins	The proteins present in blood plasma.
microprocessor	An integrated electronic circuit designed to carry out a specific set of operations.
noncompetitive inhibition	A type of enzyme inhibition not reversed by increasing the substrate concentration.
peptide	A small polymer usually containing fewer than 30 amino acids connected by peptide bonds.
