frequency modulation synthesis	See Wave Table Synthesis.
shockwave	A program used to create and play animations on some web pages.
bmk	File extension
digital	The method of representing information as numbers with discrete (non-continuous) values, usually expressed as a sequence of binary digits (ones and zeros).
ndis	Network Device Interface Specification
daemon	A computer program that runs as a background process, rather than being visible to, and directly controlled by, the user.
bup	File extension
arq	Automatic Repeat Request
ansi	American National Standards Institute
oe	Microsoft Outlook Express (see Outlook Express).
line in	A socket on a computer or a sound card, to which any analog sound source such as an amplifier or audio mixer can be connected
itanium	A 64-bit processor manufactured by Intel
exception	When an unplanned or unexpected event occurs, an associated exception object is thrown
right	File and folder-level permissions that allow access to a Web site.
wfp	Windows File Protection, a feature of Windows XP and some other modern versions of Windows, which is intended to prevent the corruption of vital system files
bbl	Chat shorthand for "be back later".
phase alternation line	See PAL
international color consortium	See ICC
umts	The system used in 3G mobile phone networks in Europe.
analog	A way of sending voice, video, or data that is "analogous" to the original signal
web site certificate	A web-site certificate states that a specific web site is secure and genuine
bookmark	Just as a paper bookmark is used as a reminder of the page you are on in a book, electronic bookmarks are used to bring you back to a website or other site you may want to return to
in-circuit test	electrical test of individual component or part of the circuit board instead of testing the whole circuit.
precedence	refers to the rules determining the order in which operators are considered in evaluating an expression.
derived type	an Ada type defined in terms of a parent type
multiple inheritance	The features you got from your mother and father, mixed together unpredictably
one-liner	An entire computer program crammed into one line of text.
collector	1
thread	Virtually the same as a task (see that entry).
execute	To run a program or subroutine
mru	Most Recently Used
rpc	When one part of a program calls on another part to do some work, the action is called a procedure call
cd/dvd recorder	A type of drive that you can attach to your computer in order to copy data from your PC to a recordable CD or DVD.
winsxs	Windows Side By Side
sfc	System File Checker
dvi	Digital Visual Interface
change interval	An estimate of the duration between changes to a URL
ike	Internet Key Exchange
iis	(Microsoft) Internet Information Services
switch statement	A program technique that lets you evaluate an expression and then, based on the value of the expression, do a multiway branch to the appropriate piece of code for that value
ode	Microsoft Office, Developers' Edition (probably).
substitution	Changing parts of a string via the s/// operator
www	World Wide Web
fxp	File extension
scm	Service Control Manager
microperipheral	A device that works with a micro-controller or microprocessor
network packet	A network packet is the fundamental unit of communication on the network
wmv	File Extension
space bar	In a word processing program, don't use multiple spaces to position text
clec	Competitive Local Exchange Carrier
prg	File extension
environment variable	A mechanism by which some high-level agent such as a user can pass its preferences down to its future offspring (child processes, grandchild processes, great-grandchild processes, and so on)
execption	An exceptional situation that prohibits the normal continuation of the program flow.
plus sign	+ (see that entry).
functional test	the electrical testing of an assembled electronic device with simulated function generated by the test hardware and software.
list context	The situation in which an expression is expected by its surroundings (the code calling it) to return a list of values rather than a single value
picture element	A pixel is the smallest area that can be displayed on a monitor
isdn	Integrated Services Digital Network
program	A complete set of program instructions written to perform a task.
owner	The one user (apart from the superuser) who has absolute control over a file
exit status	See status.
vdef	In Windows, the file system driver for unformatted disk drives.
artefact or artifice	Any visible corruption of a graphical image, for example of a JPG image saved with too low a quality setting, or the jagged edges of a line which is nearly but not quite horizontal or vertical.
assignment operator	Either a regular assignment, or a compound operator composed of an ordinary assignment and some other operator, that changes the value of a variable in place, that is, relative to its old value
pixel	One dot of light on the computer screen
pumpking	A pumpkin holder, the person in charge of pumping the pump, or at least priming it
ecc	Error Correcting Code
bps	another indicator of modem speed
off:	Microsoft KnowledgeBase article title prefix for articles relating to Microsoft Office.
formal parameter	formal argument of a subprogram, entry or generic unit.
dispose	Method for releasing resources acquired by an object
loopback	A diagnostic test or test state in which the transmitted signal is returned to the sending device after passing through a communications link or network.
com	Refer to Component Object Model.
compressed files	Computer files that have been reduced in size by a compression program
proof by contradiction	a method of proof where one assumes the opposite of the thing one is trying to prove, and deduces a contradiction
elements	see HTML Elements
certificate	Coded authorisation information that can be verified by a certification authority to grant system access
fqdn	Fully Qualified Domain Name
pppoe	Point-to-Point Protocol Over Ethernet.
host	A company that uses and makes accessible the information and utilities on an intranet or web site
scope of variable	The accessibility of the variable.
backup and restore	The process of maintaining backup files and putting them back onto the source medium if necessary.
gprs	General Packet Radio Service
query log	See search log.
member variable	Typed memory locations for storing values
asn.1	Abstract Syntax Notation One
hcl	Hardware Compatibility List
ascii art	Artwork composed entirely of ASCII characters used as lines and shapes, not as characters with meanings
subsystem	In general, a collection of modules that have a joint purpose or role in the overall system
libra	Low-Cost Integrated Broadband Radio Access
side-by-side execution	Concurrent execution of multiple versions of an assembly either in the same computer or process
scalar variable	A variable prefixed with $ that holds a single value.
cleartype	An optional feature in Windows XP which is claimed to make text more readable but which actually makes it appear very fuzzy and out of focus, making it much more difficult to read.
fatal error	An uncaught exception, which causes termination of the process after printing a message on your standard error stream
cdr	File extension
wingdings	A symbol font (see that entry).
cim	Common Information Model
ado	ActiveX Data Objects
universal resource name	See URN
form	Any number of user-interactive features in a Web page, including text entry boxes, checkboxes, radio buttons, selection boxes, and any other buttons.
virus	A program which hides inside another program that often copies itself to hide inside other programs as well.
escd	Extended System Configuration Data
ddns	DDNS is an abbreviation for Dynamic DNS.
ohnosecond	Like the millisecond, the microsecond and the nanosecond, the ohnosecond is a measure of time
ol:	Microsoft KnowledgeBase article title prefix for articles relating to Microsoft Outlook.
real audio	A program used to play sound files
target	the object to which a method is applied
xt	As a suffix after the model number of an ATI video board, this indicates a board much more powerful than the normal board
bus mastering	A system used by PCI expansion boards which enables them to perform processing at the same time as the main processor.
general protection fault	One of the most common errors which occurs in Microsoft Windows
big-endian	From Swift: someone who eats eggs big end first
audit policy	Defines the types of events that will be recorded for the purpose of improving security.
overlay	A program section designed to occupy a specified storage device—e.g
mci	Media Control Interface
windows 9x	Windows 95 and/or Windows 98 (the "x" meaning "any digit").
square brackets	[ and ] (see that entry).
mys	File extension
gsm	Global System for Mobile communications (European standard)
mft	Master File Table
frames	An optional feature of web pages which divides a page into separate scrollable windows
brightness	Brightness (or value) is achieved by adding white or black to the basic color hue
macro cell	Similar to a standard cell but larger
put	overloaded name of predefined procedures exported by Ada.Text_IO and others, used to display data (character or string) on the screen.
vserver.vxd	Sometimes spuriously listed as having failed to load in Bootlog.txt
period	Full stop
extensible markup language base	A facility, similar to that of HTML BASE, for defining base URIs for parts of XML documents.
byte	A piece of data worth eight bits in most places.
aliasing	The pixels on a CRT are square and result in jagged edges in graphic images
cast	In Film and TV "cast " is used for the actors and extras
minimum conductor space	The smallest distance between any two adjacent conductors, such as traces, on a board.
xl	Often used as a synonym for Excel, Microsoft's spreadsheet program
alu	Average Line Utilization
global	Something you can see from anywhere, usually used of variables and subroutines that are visible everywhere in your program
xsub	An external subroutine defined in XS.
w3c	 Schema
cyberspace	A term coined by author William Gibson in his novel Neuromancer
nag screen	An annoying message which is regularly displayed by a shareware program until you register it
mlm	Multi-Level Marketing
trs-80	An early home computer sold by the computer known as Tandy in Europe and Radio Shack in the USA and Canada, hence the initials.
rsaci	See "RAT".
act	Application Compatibility Toolkit, a component of Windows XP which may enable programs written for older versions of Windows to be run.
virtual memory	The use of part of a hard disk drive to simulate RAM, using a swap file (also called a paging file).
binary markup language	BML is a binary version of XML, it carries the same information, although using a binary encoding technique.
anti-aliasing	See aliasing.
editpad	See Notepad.
pki	Public Key Infrastructure.
dv	Digital video; used to describe camcorders that record video digitally.
drivespace	Microsoft software which administers one type of compressed disks
javasup	Sometimes spuriously listed as having failed to load in Bootlog.txt
cpi	See Characters per Inch
music 2.0	See MT9.
dwimmer	DWIM is an acronym for "Do What I Mean", the principle that something should just do what you want it to do without an undue amount of fuss
c++	An object-oriented programming language, the closest relative to JavaScript.
streaming	A method of transmitting information, usually sound or video, over the Internet, so that the receiving program can start playing the information as soon as it starts to receive it, without having to wait for the entire file to be downloaded
fraud	A scam intended to cheat victims out of the fair settlement of an agreement by misleading and misrepresenting the facts, method, or outcome, with no intent to fulfill the agreement.
developer	Programmer.
life cycle	The records life cycle is the life span of a record from its creation or receipt to its final disposition
xsd	File extension
on hook	See Hook.
server	A computer in a network that provides access to other computers in the network to programs, web pages, data, or other files and services, such as printer access or communications access
telco	A telco is a telephone company
trustbridge	Directory-enabled middleware supporting the federation of identities across corporate boundaries.
indefinite subtype	an unconstrained array type, a record type with a discriminant and no default values, or a classwide type.
pda	Personal Digital Assistant
bfn	Chat shorthand for "bye for now".
code	The word returned by the ref function when you apply it to a reference to a subroutine
invocant	The agent on whose behalf a method is invoked
horde	A browser-based webmail program for use on servers
he	Higher Education
cω	C-Omega is an experimental programming language which extends C#
sound	The following sound file types are used for compressed sound files through The Internet: WAV, AU AIFF, MIDI.
streaming	Multimedia files are typically large
w3c	World Wide Web Consortium
emulator	Hardware or software engineered to make one type of computer or other component behave as if it were another type
land extensible markup language	The LandXML schema facilitates the exchange of data create during the Land Planning, Civil Engineering and Land Survey process.
video/vga port	The I/O port where you plug in your monitor.
usenet	The world's largest public "bulletin board," where folks post and reply to messages from others
driver	A software program or hardware device which controls or regulates a hardware device
gse	File extension
type	a description of data and method signatures for an object
pass by value	Supply the value of a variable as an argument to a procedure
xp	Acronym for Extreme Programming
bandwidth	Literally, the frequency width of a transmission channel in Hertz, kiloHertz, megaHertz, etc
source code	The actual text that comprises the program itself.
smart	See "S.M.A.R.T.".
side effects	Something extra that happens when you evaluate an expression
byte	A set of Bits that represent a single character
internet society	See ISOC
extensible customer information language	Although name and address data is the key identifier of a customer, other data helps to uniquely identify a customer
upper case	Capital letters.
y2k	The computer millennium bug, caused by only using two digits for year numbers instead of four.
drupal	A CMS (Content Management System).
xa	See CD-ROM and CD-ROM XA.
alpha test	In software development, an early stage of testing by in-house personnel to identify bugs in the program
ebd	Emergency Boot Disk.
error handler	A programming statement that changes program flow in case an error is encountered.
elf image	An ELF executable image that can be loaded and run on a target system either immediately or after additional processing.
role	one end of an association
word processor	A computer program in which you generate, edit, store, transmit, or duplicate electronic text documents.
bitmap	An image, held as a set of RGB (red, green and blue) brightness values for a rectangle of pixels
true	A logical (Boolean) value, returned from a comparison.
gnd	File extension
identity	the manner in which individual objects are distinguished in an RDBMS
question mark	? (see that entry).
literal	A constant made available to a program by direct inclusion in the source code.
icmp	Internet Control Message Protocol
octal	A number in base 8
compile-time	The period during which a program is being compiled, as distinct from run-time when a program is actually running
path	The list of directories the system searches to find a program you want to execute
yacc	Yet Another Compiler Compiler
here document	So called because of a similar construct in shells that pretends that the lines following the command are a separate file to be fed to the command, up to some terminating string
easter egg	A hidden feature of a program, written largely for the amusement of the programmer
syntax	The precisely structured way in which program statements must be written in order to be compiled.
extensible hypertext markup language	This is a real effort to clean up code creation by making the rules of coding very strict
isam	Indexed Sequential Access Method
at sign	@ (see that entry).
cul	Chat shorthand for "see you later".
object code	The compiled form of a program
fmv	Full Motion Video, as used in graphical adventure games, etc.
download	The process of transferring information from one computer to another
symbol	The word has many different meanings in many different contexts
emoticon	A symbol constructed from two or more characters, read sideways, used to convey an emotion or to indicate the sense in which a comment was made
pm	File extension
software	Instructions that tell the computer hardware what to do or how to act; the brains of the computer.
sequential couleur avec memoire	See SECAM
php	PHP Hypertext Processor
trs2004	Trainz Railway Simulator 2004, a program published by Auran.
use type clause	a context clause that makes the primitive operations of a type (and nothing else) visible to clients.
qbe	Query By Example
prj:	Microsoft KnowledgeBase article title prefix for articles relating to Microsoft Project, a project administration system.
sx	See "DX".
shs	File extension
controlled document	any document for which distribution and status are to be kept current by the issuer to ensure that authorized holders or users have available the most up to date version.
dcc	Direct Cable Connection
migration	Act of moving records from one system to another, while maintaining the records' authenticity, integrity, and reliability.
format specification	A string which controls how input or output shall be presented.
rf	Radio Frequency
bcl	Refer to Base Class Library.
tapi	Telephony Application Programming Interface
jpeg	Jpeg derives its name from the Joint Photographic Experts Group who created the standard
bounce	An email reply informing a sender that there was a problem delivering an email.
us-cert	See CERT.
modulus	The result of the modulo (%) operator, which returns the remainder of a division operation
dispatch	To send something to its correct destination
associativity	Determines whether you do the left operator first or the right operator first when you have "A operator B operator C" and the two operators are of the same precedence
asymmetric digital subscriber line	See ADSL
chip	1
acc:	Microsoft KnowledgeBase article title prefix for articles relating to the Microsoft Access database system.
svg	Scalable Vector Graphics
record	A set of related data values in a file or stream, often associated with a unique key field
ras	Remote Access Service (or Services?)
igp	Interior Gateway Protocol
fifo	First In, First Out
cern	the European Organization for Nuclear Research where the web was born
gif	Graphic Interchange Format
the mozilla organization	 Schema
off hook	See Hook.
term	Short for a "terminal", that is, a leaf node of a syntax tree
dao	Data Access Object
dom	Document Object Model
directanimation	One part of DirectX, which provides a means for programs to create animated graphical images in two or three dimensions
nailed line	A permanent connection between endpoints over which two parties exchange data
vsu	See Multiband VSU.
cathode	1
fixed_io	a predefined generic package exported by Ada.Text_IO, used to support input and output of text representing values of user-defined fixed-point types.
bsod	Blue Screen Of Death - see that entry.
validation	The checking of data to see if it is sensible in the context being used
web integration adapter	An adapter that retrieves and adapts Web content using WIDL files to map the source content to Wireless XML.
focus	When a user clicks on a form element and it becomes "active" for interaction, it is said to "have the focus."
identity theft	An umbrella term used for any type of identity fraud
mb	Megabyte
overriding	Hiding or invalidating some other definition of the same name
nwredir	In Windows, the file system driver for network drives mapped by the Microsoft Client for NetWare Networks.
wcs	Frequencies in the 2.3 GHz band designated for general fixed wireless use and auctioned earlier this year.
ellipsis	..
host	The main computer in a system of computers or terminals connected by communications links.
shtm	File extension
lower case	Small letters.
lsp	Layered Service Provider
lithography	From the root "litho" meaning "stone" and "graph" meaning "writing".  Lithography is the transfer of a pattern or image from one medium to another, as from a mask to a wafer
otr	Old Time Radio
block buffering	A method of making input and output efficient by passing one block at a time
security update	Microsoft KnowledgeBase article 824684 includes the following definition of this term as used by Microsoft: "A security update is a broadly released fix for a product-specific, security-related vulnerability
synchronization	In serial data transmission, a method of ensuring that the receiving end can recognize characters in the order in which the transmitting end sent them, and can know where one character ends and the next begins
bit	Binary digit
tsr	Terminate and Stay Resident
full duplex	Simultaneous two-way communication path.
xpointer	Candidate Recommendation 3 July 2000
semaphore	A fancy kind of interlock that prevents multiple threads or processes from using up the same resources simultaneously.
format check	A validation check to ensure that the characters conform to some defined pattern.
cable	A means of accessing the Internet that runs through your cable TV coaxial connection.
mspx	File extension
vkd	Virtual Keyboard Device Driver.
spx	Sequenced Packet Exchange
dynamic polymorphism	run-time dispatching to one of several possible operations having the same name.
wide area information services	See WAIS
operator	A symbol (comprising one or more characters) representing an action to be performed on one or more operands to produce a value.
intro	See Demo [3].
a1s	All Ones
cast	Conversion of a value from one type to another
thread	Like a forked process, but without fork's inherent memory protection
form factor	A management/marketing pseudo-technical term, meaning size and shape
motion picture experts group	Another compression technique for video and audio
multiplexing	An electronic or optical process that combines a large number of lower speed lines into common bit stream for longer distance/high speed transmission
validation	The practice of evaluating data to see whether it meets some criteria.
carat	A common mis-spelling of caret.
automated test markup language	Automated Test Markup Language
microsoft solutions framework	MSF is a formal approach to technology development projects derived from a set of concepts, disciplines, guidelines, models, practices, and principles promoted by Microsoft.
magical increment	An increment operator that knows how to bump up alphabetics as well as numbers.
hsupa	High-Speed Uplink Packet Access
nntp	Network News Transfer Protocol
al3	One EDI (Electronic Data Interchange) standard that ACORD develops, known as AL3, is focused on the communication between property/casualty organizations, their agents and other trading partners. 
active server page	See ASP [1].
universal relation assumption	the assumption that every attribute in the universal relation schema has a unique name
web	Short for World Wide Web.
session	The state a connection reaches when both parties can communicate with each other.
serial port	An older kind of versatile computer port that can connect a variety of devices to the PC; it has been largely replaced with USB ports.
linker	A binding tool that resolves symbol references to symbol definitions.
vista	Refer to Windows Vista.
field	Part of a record used to store a single data item of a particular type.
listserv	An email mailing list handling program
iteration	Repetition of a sequence of steps until a condition is satisfied or while a condition is satisfied.
var	Companies that package solutions around products they sell.
compiled html	See CHM.
discussion server	A computer that stores discussion text and information about the location of the file being discussed.
tivo	See PVR.
owner	The company, institution, or person who owns and - usually - maintains a Website
cartesian product	set of all ordered pairs (or triples etc) of elements from two (or three etc) sets
function	A subroutine that returns a value.
stage	In the world of theatre and music production the stage is the designtaed area where the production is executed
x	A wild card, representing any digit or number
b2c	Acronym for Business to Consumer—exchanging information between business and consumer entities.
call by reference	An argument-passing mechanism in which the formal arguments refer directly to the actual arguments, and the subroutine can change the actual arguments by changing the formal arguments
feature pack	Microsoft KnowledgeBase article 824684 includes the following definition of this term as used by Microsoft: "A feature pack is new product functionality that is first distributed outside the context of a product release and that is typically included in the next full product release."
thumbnail	A small copy of an image (a photograph, etc) displayed for preview purposes.
content type	Content type is a technical term (following RFC2045 and RFC2046) used for describing the content of a web document so that a user agent can handle the content properly
chown	A UNIX command meaning "change ownership."
f2p	Free To Play
iterate	To repeatedly move through a program loop.
mouse	A helpful device that lets you work with graphical objects that the computer displays on the monitor.
laziness	The quality that makes you go to great effort to reduce overall energy expenditure
tilde	~ (see that entry).
open source	Open source software is software which is provided publicly in source code form
etla	Extended Three Letter Acronym
signal processing	Electronic functions that enhance the representations of physical or electrical phenomena
dbm	Stands for "Data Base Management" routines, a set of routines that emulate an associative array using disk files
dialler	A malicious program which uses your modem to make international phone calls, supposedly to provide access to pornographic web sites
thunk	A small section of a program which converts parameters between 16 bits and 32 bits, thus allowing a 16-bit program to use a 32-bit subroutine or vice-versa.
rendezvous	the Ada mechanism used to synchronize the interaction between two tasks.
bizcodes initiative	BizCodes Initiative is focused on promoting the concept of a universal reference system for XML based eBusiness that transcends individual schemas and industry specific exchange formats to provide a true 'lingua franca' for global eBusiness interchanges.
movie	When the film industry began images could "move" and the term moving pictures, shortened to movies, began to be used
regular expression modifier	An option on a pattern or substitution, such as /i to render the pattern case insensitive
mosaic	Mosaic was the first popular browser that supported images and was developed by Marc Andreessen at NCSA.
user experience preferences	A set of preferences, specified by a user, that affect the user experience that results from adaptation for a given delivery context
ans	Advanced Networking Services, an Intel software component.
collection	A segment of a search index
sr	Service Repository
folder	Directory or subdirectory - an area of a hard disk, a floppy disk or an exchangeable disk, etc, containing a set of files.
braces	Curly brackets, { and }.
dip	dual in-line package with two rows of leads from the base in standard spacing between the leads and row
bgp	Border Gateway Protocol
mru	Maximum Receive Unit
backbone	The part of the communications network intended to and designed to carry the bulk of traffic
virtual reality modeling language	See VRML
operator	A gizmo that transforms some number of input values to some number of output values, often built into a language with a special syntax or symbol
email	Electronic Mail messages sent from one person to another via the internet.
decrement	To subtract a value from a variable, as in "decrement $x" (meaning to remove 1 from its value) or "decrement $x by 3".
entry body	a program unit nested in the body of a protected unit, which implements the operation promised by the corresponding entry declaration.
joint photographic experts group	The image file format best suited to photographs, due to its ability to handle colour transitions well and compress complicated photos into a smaller size
http gateway	An HTTP server which acts as an intermediary for some other HTTP server
page	Basic structural element of a Website
bipolar	A type of transistor noted for its speed where a flow of both conduction electrons and holes determine the device characteristics.
continuation	The treatment of more than one physical line as a single logical line
related queries	Formerly called "synonyms." Administrators for the search appliances can use related queries to associate alternative words or phrases with specified search terms
asn.1 markup language	XML encoding of Abstract Syntax Notation One (ASN.1)
results page	A page that appears after a search concludes
enterprise manager daemon	The Enterprise Manager Daemon handles the different components metrics and displays them in a component specific HTML page
ps/2 port	A type of connection dedicated to the kind of keyboard and mouse that feature this connector.
beta test	In software development, a stage of testing where the program is tried out with a selected trial audience to find and correct bugs, usually people of similar backgrounds to those expected to use the software
critical update	Microsoft KnowledgeBase article 824684 includes the following definition of this term as used by Microsoft: "A critical update is a broadly released fix for a specific problem that addresses a critical, non-security-related bug."
extreme ultraviolet technology	A technology for extending ultraviolet lithography by manufacturing a lens with concave and convex mirrors
octet	Eight data bits.
american national standards institute	See ANSI
postmaster	The person responsible for taking care of email services, answering questions and complaints at a particular site
adaptec	A publisher of CD burning software
microsoft office specialist	Office Specialist is a certification recognized by the industry for professional developers who demonstrate advanced skills with Microsoft desktop software, i.e
vertical bar	| (see that entry).
mtrr	Memory Type Range Register
gpg	GNU Privacy Guard
qualified expression	an expression preceded by a subtype name,   as in Color'Silver or Metal'Silver, used to eliminate ambiguity or aid readability.
ascii character set	first 128 of the 256 in the Latin-1 set.
variable	Typed memory storage location
asterisk	* (see that entry).
rts/cts	Ready To Send/Clear To Send
chump	File extension
hel	Hardware Emulation Layer
q+e	See QBE.
abstraction	reasoning in which lower-level details are ignored while one focuses on selected higher-level concerns.
hid	Human Interface Device
webmail	Any application which allows you to access your email through a web browser
content management system	A software system that stores and manages documents and provides document source control services such as securing controlled-access documents and archiving
escrow scam	A scam that occurs when a thief/scammer convinces the victim to use a phony third-party escrow service to exchange money and merchandise
dnsadmin	A program that manages DNS services and clustering.
kin	File extension
ipr	The conditions under which the information created by one party may be appreciated by another party.
stringification	The process of producing a string representation of an abstract object.
masm:	Microsoft KnowledgeBase article title prefix for articles relating to the Microsoft's Macro Assembler.
encapsulation	A term used in object oriented programming
im	File extension
service provider interface	See SPI.
platform sdk	Platform Software Development Kit
mail exchanger	MX is a DNS record type which indicates a domain’s mailserver address(es)
dsound.vxd	Sometimes spuriously listed as having failed to load in Bootlog.txt
avi	Audio Video Interleaved
circumfix operator	An operator that surrounds its operand, like the angle operator, or parentheses, or a hug.
fs:	Microsoft KnowledgeBase article title prefix for articles relating to the Microsoft Flight Simulator program.
dmz	De-Militarised Zone
line buffering	Used by a standard I/O output stream that flushes its buffer after every newline
autoload	To load on demand
aiff	Audio Interchange File Format
metacharacter	A character that is not supposed to be treated normally
construct	As a noun, a piece of syntax made up of smaller pieces
lvalue	Term used by language lawyers for a storage location you can assign a new value to, such as a variable or an element of an array
quotas	Limits to the amount of disk space a user is allowed to take up.
paper output tray	The location on a computer printer where the printer paper comes out and is stacked.
pvr	Personal Video Recorder
rom	Read-only memory; Permanent memory that can’t be altered by the microprocessor.
sfp	System File Protection
snap	SubNetwork Access Protocol
ipf	Invalid Page Fault
pub:	Microsoft KnowledgeBase article title prefix for articles relating to Microsoft Publisher, which I think is a desktop publisher program (although how it differs from Word I do not know).
ascii	American Standard Code for Information Interchange
logging off	The opposite of logging on, where the computer service is informed that you want to terminate the connection
scalar literal	A number or quoted string--an actual value in the text of your program, as opposed to a variable.
initialize	To assign a starting value to a variable
pnd	Present Next Digit
lhsp	A folder in Windows ME, probably associated with a text-to-speech facility
dlc	Data Link Control
substrate	The body or base layer of an integrated circuit, onto which other layers are deposited to form the circuit
file type	Extension
csv file	A text file with one record per line and each field separated from the next by a comma
overclocking	Running a computer component such as a processor or a video board at a faster speed than its designers intended, in an attempt to make it perform more quickly
source code	The original, human readable form of a program, written in the programming language.
inheritance	What you get from your ancestors, genetically or otherwise
binary	Binary means the use of only two values, zero and one, in encoding data
nanotechnology*	The ability to see, measure and make objects that are within the same tiny size scale as atoms and molecules
rsc	A JISC Regional Support Centre - see http://www.jisc.ac.uk/whatwedo/services/as_rsc/rsc_home/rscs_contact.aspx
musical instrument digital interface	See MIDI
indexing	Pertaining to record keeping, the process of establishing and applying terms or codes to records, to be used to retrieve them and to search for and analyze information in records across classifications or categories.
eap	Extensible Authentication Protocol
non-volatile ram	Also commonly NVRAM
home highway	BT's trade name for their domestic ISDN service.
formal public identifier	See FPI
ieee 1394	See FireWire.
bareword	A word sufficiently ambiguous to be deemed illegal under use strict 'subs'
structured english	The use of the English language with the control structures of structured programming in order to describe an algorithm
system board	The main printed circuit board of a computer
wireless application forum	See WAF
cost management	See call filters.
hexadecimal	A number in base 16, "hex" for short
internic	InterNIC (now known as Network Solutions) currently holds an exclusive contract with the U.S
algorithm	A set of steps for solving a problem.
output	Anything that the computer produces.
protocol	A set of rules that defines how computers transmit information to each other, allowing different types of computer hardware and software to communicate with each other
public domain	Something not owned by anybody
tla	Three Letter Acronym
adf	Automatic document feeder
associative array	See hash
text	A string or file containing primarily printable characters.
transparency	Images in the computer environment are always square or rectangular
chord markup language	ChordML represents music synoptically
true	Any scalar value that doesn't evaluate to 0 or "".
rtm	Released To Manufacture
wmi	Windows Management Infrastructure/Windows Management Instrumentation (Microsoft are inconsistent regarding the name, even within the same window as displayed in WMIMGMT.MSIC)
txt	File extension
simple network management protocol	See SNMP
alpha channel	A term associated with graphics
interpreter	A program which runs a program written in a high level language
gif	"giff"
anim	File extension
platform preview	A beta version of a program, i.e
angstrom	One ten-billionth of a meter
pascal	Another programming language, somewhat similar to C.
gps	Global Positioning System
pl	File extension
local	Not meaning the same thing everywhere
nanoscale*	The size range of objects studied by nanotechnologists.
ddk	Device Driver Kit.
ajax	asynchronous JavaScript and XML
anti-aliasing	Attempting to remove the jagged edges of nearly horizontal or vertical edges displayed on a monitor, usually by means of fading individual pixels.
ontology	A description (like a formal specification of a program) of the concepts and relationships that can exist for an agent or a community of agents
ocr	Optical character recognition; a program that allows the computer to read text from a scanned item and convert it to text that you can edit.
wd:	Microsoft KnowledgeBase article title prefix for articles relating to Microsoft Word.
accept statement	a compound statement in a task body, which corresponds to an entry in the task declaration.
sans serif font	Serifs are the little marks at each of each stroke of each character that are present in some fonts
crl	Certificate Revocation List
microsoft...	In most cases, see under individual product names
dos	Denial of Service
false	The value returned from a comparison operation, if the comparison is invalid.
jnlp	File extension
system unit	The main box of the PC; also called the console
html page	See Page.
dvi-a	A DVI socket with analogue output only.
moderator	In some Internet newsgroups and mailing lists, a person through whom all messages are filtered before they are distributed to the members of the newsgroup or list
mcse	Microsoft Certified Systems Engineer
specialization	The process where from a general concept, more specific concepts are derived
del and delete keys	See Left Delete Key and Right Delete Key.
line	In Unix, a sequence of zero or more non-newline characters terminated with a newline character
fractal image format	See FIF
limited	a reserved word, used in declaring a type to have limited operations, in that it cannot be used in assignments or checks for equality or inequality.
dsa	Digital Signature Algorithm
cd ripper	See DAC.
chipset	A group of chips that work together to perform a specific task or function
cast	In the C programming language, a function which converts data from one variable type to another, in the same way as the STR$ and VAL functions do in BASIC
swt	Standard Widget Toolkit
master service	The core implementation of a service
entry call statement	a simple statement that issues a call to an entry of a task -- similar in form to a procedure call.
cbga	Ceramic Ball Grid Array.
ca	Certificate Authority
relationship	See "Join".
win9x	Windows 95 or Windows 98
stl	Standard Template Library
frame	A segment of a digital signal that has a repetitive characteristic in that corresponding elements of successive frames represent the same things
integer	A type predefined in current Pascal to occupy four bytes and to be signed (can be positive or negative).
parse tree	See syntax tree.
s.m.a.r.t.	Self-Monitoring, Analysis, and Reporting Technology
aac	File extension
dcmi	The Dublin Core Metadata Initiative
chip's challenge	A very highly recommended game, included in Microsoft's Windows Entertainment Pack
subprogram	an Ada program unit that specifies a sequence of actions
cyberspace	Term originated by author William Gibson in his novel Neuromancer the word Cyberspace is currently used to describe the whole range of information resources available through computer networks.
overloading	see Method Overloading.
goto statement	a simple statement that transfers control to a labeled location.
gart	Graphics Address Remapping Table
assembler	A program that translates a program written in assembly language into machine code.
link	A reference from one document to another (external link), or from one location in the same document to another (internal link), that can be followed efficiently using a computer
rtfm	An invitation for a user to kindly consult the printed documentation which accompanied the product: Read the flaming manual!
file handling services	services provided by predefined generic packages named Ada.Direct_IO, Ada.Sequential_IO, Ada.Streams, and Ada.Streams.Stream_IO.
odl	Object Description Language.
implicit conversion	a type conversion that takes place automatically, without explicit coding by the programmer.
floating-point number	Number having a decimal place or exponent.
semantics	The meanings assigned to symbols and sets of symbols in a language.
pve	Player versus Environment
nanometer	A metric unit of linear measure which equals one billionth of a meter
stack	A device you can put things on the top of, and later take them back off in the opposite order in which you put them on
net messaging	A Microsoft product which appears to be very similar to NetMeeting (see that entry).
web page	A collection of information, consisting of one or more resources, intended to be rendered simultaneously, and identified by a single Uniform Resource Identifier.
hash sign	# (see that entry).
ndis2sup.vxd	Sometimes spuriously listed as having failed to load in Bootlog.txt
xpath	W3C Recommendation 16 November 1999
rv	A recreational vehicle, not to be confused with vehicular recreation
symbol	Generally, any token or metasymbol
af	Anisotropic Filtering
hotu	Home Of The Underdogs, a software repository web site for old abandoned games
color depth	or bit depth, refers to the number of bits used to describe the color of a pixel
entry-level	The least expensive model in a manufacturer's range of models.
