intimo	"intimately"
fresco	"freshly"
cantando	singing
bocca chiusa	with closed mouth.
march	A form of music written for marching in two-step time
issimo	a suffix meaning 'extremely', e.g
slave labour	Work carried out by enslaved people at the profit of others.
brava!	A term used during applause to commend the performance of female performers on stage
andante non troppo	not too slowly.
sanft	"gently" (Ger.)
doloroso	sorrowfully, plaintively
precipitato	precipitately
muta [in...]	Change: either a change of instrument, e.g
mazurka	A Polish dance in triple time.
agent	An agent is a person who acts on behalf of someone else in business.
mit	With
verdigris	A bluish green-colored oxidation found around some brass tuning pins in older Steinway piano actions that is known to cause heavy touch and slow repetition, sometimes referred to affectionately by technicians as "Steinway-itis" and a common reason for restoration and repair.
toccata	An Italian word meaning to ‘touch’ designed to display the brilliance of the performer.
rallentando	becoming progressively slower
breit	broad
subito	Suddenly, quickly.
timbale	small hand drum similar to a tambourine; formerly carried by itinerant jugglers
tempo	time; i.e., the overall speed of a piece of music
forte	A symbol indicating to play loud.      
contra	against
forza	Force(ing)
stanza	"a verse of a song".
discord	an ugly, unharmonious combination of tones.
teneramente	tenderly
unison/unis.	No harmony
troppo	Too much
lentissimo	very slowly
marcia	a march; alla marcia means in the manner of a march
minore	minor.
pianissimo	very gentle
ausdrucksvoll/mit ausdruck	expressively, with expression
lunga pausa	Long pause
piccolo	little
chromatic	A scale containing all 12 pitches of the western notation system.
fortissimo possibile	as loudly as possible.
refrain	a recurring combination of words and tune
accentato/accentuato	accented; with emphasis
tempo ordinario	in ordinary tempo.
moto	"Motion." Usually seen as "con moto," meaning "with motion" or "quickly."
stereotype	A person or thing seeming to conform to a widely accepted type.
commonwealth	A free association of sovereign states comprising Britain and a number of its former dependencies once part of the British empire
lentissamamente	very slowly.
quasi	"as if," "almost."
vite	quick
three-part form	See ternary form.
magico	magically
alternate picking	A combination of upstrokes and downstrokes that enables the guitarist to play faster and is the key for playing fast leads smoothly.
animato come sopra	in animated style as above.
arco	the bow used for playing some string instrument; i.e., played with the bow, as opposed to pizzicato (plucked), in music for bowed instruments; normally used to cancel a pizzicato direction
sordino	see sordina, above
lentissamente	very slowly.
key level	The uniform height of the keys across the keyboard.
canto	chorus; choral; chant
senza misura	without measure
spiritoso	spiritedly
timbre	Tone colour and quality of sound that distinguishes an instrument or singer from another
rit.	Abbreviation for Ritardando
sotto	Below.
a bocca chiusa	mouth closed
cantabile	singable
bocca chiusa	with closed mouth
allegretto	a little bit joyful
repetition lever	The part of the action that uses spring tension to lift the hammer so that the jack can move back underneath the hammer more quickly.
theme with variations	A form in which a self-contained musical unit is followed by a series of modifications of the original material.
maestoso	majestic
espr.	expressively
gran scena	operatic set piece, usually for anguished prima donna.
col legno	"with the wood"; indicates that the strings are to be struck with the wood of the bow; also battuta col legno: "beaten with the wood."
tranquillo	tranquilly.
fundamental note	The primary note of the harmonic series
gustoso	"gusto";
con fuoco	"with fire"  In a fiery manner.
rapido	"fast."
crescendo e diminuendo	same as cresc
scherzoso	playfully
regulating / regulation	The procedure of making the various components of the action work together in a uniform way.
furia	fury
italian term	Literal translation
concord	A chord which sounds harmonious, as opposed to a discord which sounds dissonant
intervals	The gap between musical notes, which are measured in half steps and whole steps.
delicatamente	"delicately"
texture	the thinness or thickness of the sound.
saddle	The moving metal part of the bridge of an electric guitar that have grooves for the strings to lie across.
keyboard	The entire set of keys on any keyboard instrument.
motet	Polyphonic vocal genre, secular in the Middle Ages but sacred or devotional thereafter.
arioso	"airy"
impetuoso	impetuously
ossia	Or
rest stroke	A right-hand stroke — unique to classical music — in which you pluck straight across (not upward) the strings so that your finger lands, or rests, against the adjacent lower-pitched string.
upstage/downstage	Positions on stage; upstage is toward the rear of the stage and farthest from the audience while downstage is toward the lip of the stage, closest to the audience
flange	A flange is a hinge that projects from an action rail used to attach a moving action part, such as a hammer, damper underlever or wippen, to the rail.
knuckle	A rounded piece of leather attached to the underside of the hammer shank that is pushed on by the jack as the hammer shank is being propelled toward the string.
ritardando	Getting gradually slower.
tubular metallic action frame	A hammer or wippen rail made out of a single molded piece of metal tubing filled with a wooden dowel.
sustain	1
bend	jazz term referring either to establishing a pitch, sliding down half a step and returning to the original pitch or sliding up half a step from the original note.
score	The written or printed book containing all the parts of a piece of music. 
staff	In musical notation, the five horizontal, parallel lines on which notes and rests are written.
pochettino or poch.	very little
allargando	to slow and broaden
affidavit	A written statement confirmed by oath.
musical notation	A written form of music used to convey the music we hear in a way that can be repeated by musicians.
meno	less; see meno mosso, for example, less mosso
un peu	A little
keyslip	The piece of wooden trim that is placed in front of the keyboard in order to hide the bottom of the keys.
canzona	A verse form originating in fourteenth-century folk traditions
assai	very
pesante	heavy, ponderous
tempo primo	Back to original speed.
col pugno	"with the fist"; bang the piano with the fist.
chaconne	Similar to the Passacaglia
sanft	gently
alto	the lowest female voice
countertenor	Male singer who sings in a woman's voice range, usually performing roles originally written for castrati--male singers who were castrated as children, primarily in the seventeenth and eighteenth centuries, to preserve their high, youthful voices.
active electronics	Electric guitar electronics that have a built-in power source.
dampened snare	A term used to inform the performer to add something to the batter head of a drum in order to decrease the resonance
simile	"similarly"i.e
euphony	agreeable tone combinations; the opposite of cacophony
bridge	Transitional passage connecting two sections of a composition, also transition
baroque	Music composed between 1600 and 1750, spanning the period from Monteverdi to Handel
lugubre	lugubrious, mournful
mezzo-soprano	Female singer with a medium-to-low voice range.
giocoso	Merrily, happily, stems from jokily.
sempre	Always.
reel	A lively dance usually in 4/4
solmization	sight-singing by syllable.
keytops	The covering of the key, usually made of plastic, and with older pianos, with elephant ivory.
affettuoso	tenderly, affectionately, with feeling
neapolitan sixth	A major chord built on the flattened supertonic note
fieramente	proudly
affettuoso	"tenderly".
viola da gamba	leg viola
perdendosi	dying away
peu à peu	little by little
con moto	With movement
scherzando	playfully
piano hinge	The long brass hinge across the lid of a grand piano that allows the lid to be partially folded back.
bravura	skill
devoto	"religiously"
vigoroso	Vigorously
andante grazioso	moderately slow, and gracefully.
con spirito	with spirit.
sospirando	sighing
time signature	The fraction-like figures at the beginning of a piece of music that tell you how many beats are in a measure and which note value gets one beat.
major chord	A chord built on the unaltered first, third, and fifth notes of a major scale.
double barline	Two vertical lines denoting the end of a piece of music
minor	One of 2 modes of the tonal system
viola	viola, orig
accent	Attack hard.
veloce	Swift.
als	than
pasticcio	a freshly written stage work making use of pre-existing music by different composers.
time	in a jazz or rock score, after a rubato or rallentendo section, the term "time" indicates that performers should return to tempo (this is equivalent to the term "a tempo")
colla parte	with the soloist
pietoso	pitiful, piteous
bravo	(Italian: masculine form) A call to show approval for a male performer at the end of a performance.
fuocoso	fiery; i.e., passionately
bel canto	Literally, "beautiful singing." The term can refer to a type of opera that features this expressive style of singing or the actual singing itself, which packs an emotional wallop and features lots of embellishments
medley	piece composed from parts of existing pieces, usually three, played one after another, sometimes overlapping.
liberamente	freely
nobile	"in a noble fashion".
fraizing	The process through which the rim of a grand piano is sized.
basso profundo	The lowest and often serious bass voice
bocca chiusa	mouth closed
ostinato	obstinate, persistent; i.e., a short musical pattern that is repeated throughout an entire composition or portion of a composition
sprechstimme	The term applied to a voice notated in Sprechgesang.
rallentando or rall.	Broadening of the tempo (often not discernible from ritardando); progressively slower
l’istesso tempo	An instruction to performers to maintain the same tempo despite a change in time signature or character.
répétiteur	Musician in an opera company who rehearses and coaches the cast at the piano prior to full orchestral rehearsals with the conductor.
guitar polish	A liquid polish designed specifically for cleaning and polishing a guitar.
hitch pin	The small piece of metal protruding from the plate to which the back end of the piano wire is attached or secured.
ribs of the soundboard	Strips of wood glued across the grain to the underside of the soundboard to support the soundboard's crown.
giusto	strictly, exactly, e.g
flebile	mournfully
tritone	Three whole tones (Augmented 4th)
inner rim	The small shelf attached to the inside of the rim used for securing the soundboard and plate.
high-tension scale	A scale made possible by the cast-iron plate
acciaccatura	A grace note that is played as quickly as possible
atonal	Music that is not in any key
festivamente	cheerfully, celebratory
bel canto	Literally "beautiful song"
soprano	The highest range of the female voice; lyric soprano is warm, graceful; dramatic soprano is fuller and heaver, e.g
dolce	"sweetly"
export	To sell or send goods or services to another country.
moto	motion; usually seen as con moto, meaning with motion or quickly
note row	The foundation of serialism; the order in which a composer chooses to arrange the composition's basic twelve notes, none of which can be repeated until the other eleven have been deployed.
spianato	smooth, even
migrate	Move from one place and settle in another, especially abroad.
chorus	a group of singers of all vocal ranges, singing together to support the vocal leads
crescendo subito	increase in power suddenly (or rapidly).
mellifluous	pleasing; pleasant sounding.
con spirito	With spirit
lusingando	caressingly, coaxingly, tenderly.
oboe d'amore	love oboe
inversion	A musical idea turned backwards; usually refers to melody, but can also apply to rhythm.
tempo giusto	In strict time
surtitle	Translations of foreign words that are projected above the stage during the performance so the audience can interpret the opera's meaning.
calando	quietening
fundamental vibration	The main or loudest sound you hear in a note when a string is played
contrary motion	In musical notation, when one musical line ascends while the other descends.
annuity	An allowance.
flebile	"mournfully"
stage left	This is left from the point of view of the person on stage facing the audience.
a cappella	in chapel style
gustoso	with happy emphasis and forcefulness
cadence	The point in music where the melody and/or chord sequence leads the listener to experience a sense of temporary or permanent close giving a sense of repose or resolution.
zärtlich	tenderly
soave	"smoothly."
viola da braccio	arm viola
chamber music	Music for small ensembles
propstick	The piece of wood that supports the lid in its open position
sopra	above
passionato	passionately
east indies	The islands that extend in a wide belt along both sides of the Equator between the Asian mainland to the north and west and Australia to the south.
piano assai	very softly.
meter	The organization of rhythm and beats.
a capella	(Italian) Means "in the chapel" of in the style of the chapel
con moto	with motion; i.e., not too slow.
cash crops	Crops grown in large quantities just for sale rather than for local markets.
character shoe	A character or jazz shoe is worn in many theatrical productions
quasi una fantasia	Like a fantasia
piangevole	"plaintive"; in the style of a lament.
stops	devices to alter the sound of an organ or harmonium.
veloce	with velocity
damper underlever	The part that is lifted by the back of the key when the front of the key is depressed in order to lift the damper away from the string, allowing the string to vibrate.
stage right/left	The sides of the stage from the performer’s point of view, i.e., when a singer moves down right, s/he moves right toward the edge of the stage – which is the audience’s left.
animandosi	animated, lively
arabesque	an instrumental composition in light, somewhat fantastic style.
slargando	Get gradually slower.
bushing	A material, either wool felt or teflon, that is placed between two hard surfaces which cushions them, keeping them from making noise as they move
carnival	Festival preceding the Catholic season of Lent (period of fasting from Ash Wednesday to Holy Saturday)
key lead	Weights inserted into a key to improve its balance
prestissimo	very ready
presto	"very quickly."
fortepiano	1
bridge pins	The pins driven into the bridge cap to hold the strings against the bridge so that the strings won't drift from side to side
repetition mechanism	The entire collection of parts working together in order to facilitate the action's ability to rapidly reset itself to play again.
etude	a study
focoso	"passionately"
dolce	Sweetly
con anima	with feeling
arietta	a short aria
recitativo	well enunciated
strings	The high quality music wire used for making sound.
leggierissimo	very lightly and delicately
appassionato	with passion, impassioned
subject	Musical theme.
con tenerezza	with tenderness.
improvisato	improvised, or as if improvised
through-composed	in the case of a song, different music for each verse; in the case of an opera, no spoken dialogue.
morendo	"dying away" in tone or tempo.
piu	More.
lento	Slowly
modesto	"modest"
da capo/d.c.	From the beginning
sextuplet	a group of six notes to be performed in the time ordinarily given to four of the same value
posato	settled
alderman	Assistant to the mayor.
practice pad	A practice pad is normally made of rubber and simulates the feel of a drum
lamentando	lamenting, mournfully
improvvisando	with improvisation
down weight	The measured amount of weight it takes to start a key moving downward.
volta	Time
burletta	a little joke
accent	emphasize.
traurig	Sad.
modulation	A process whereby music shifts from one key to another.
polonaise	same as polacca.
cadence	A musical term referring to a chord sequence that brings an end to a musical phrase
cacophony	harsh, discordant, unpleasant, especially incorrect combinations of tones
dodecaphonic music	See definition for ‘serial music'
barbaro	barbarous (notably used in Allegro barbaro by Béla Bartók)
carol	a hymn of joyful praise, usually sung in connection with Easter or Christmas festivities
glissando	Sliding from one pitch to another, sounding all pitches in between.
bolero	triple measure.
coll'arco	with the bow
poetico	poetic discourse
key bushing	Cloth that lines the holes in the key that guide the key in its vertical motion while minimizing its horizontal motion.
stompboxes	An effects unit that is controlled by a foot pedal.
largo	broad
run	a rapid series of ascending or descending musical notes which are closely spaced in pitch forming a scale
teneramente	Tenderly
piangevole	plaintive
upstroke	1
fine	the end, often in phrases like al fine (to the end)
boost	An amplifier control that you can use to create a distorted or lead sound.
society of merchant venturers	A Bristol-based organisation, which was formed in 1552 as an elite body of merchants involved in oversees trade
interval	The distance between two notes
discord/dissonance	A chord or interval that sounds inharmonious and requires resolution
ruvido	roughly
sforzando	strained
il più	the most
import	To bring foreign goods or services into a country.
tremolo	a rapid repetition of the same note, or an alternation between two or more notes
allegretto	"a little lively," or "moderately fast."
contrapuntal	Two (or more) melodic voices combining harmoniously within a score.
musical phrase	a melodic unit which a singer would take in one breath.
gemendo	groaningly
db	An abbreviation for "decibel", which is a unit of measure used to logarithmically express ratios of change in power or signal levels; a measure of sound pressure level.
ritenuto	Hold back (the tempo)
ben	well
da	from
a prima vista	Playing something at first sight of the sheet music
lugubre	"lugubrious"
molto	very
tone regulating	Another phrase for Voicing where the technician attempts to achieve a consistent and pleasing sound from one hammer to the next across the entire keyboard.
horn	See French horn.
silencio	silence.
a cappella	in the manner of singing in a chapel; i.e., without instrumental accompaniment
crescendo al fortissimo	keep on gradually increasing in power until the fortissimo (or very loud) point has been reached.
comodo	convenient
simile	similarly; i.e., continue applying the preceding directive, whatever it was, to the following passage
cambiare	"change"  Any change, such as to a new instrument.
doppio	Double
irato	angrily
ledger lines	Short lines above or below the stave to accommodate notes higher or lower than the stave
crotchet beats	(Compound = duple)
retenu	held back
key	The relationship between pitches that establish the tonal centre of music
subito	suddenly
doppio moviment	Twice as fast
fermata	stopped
sehr	Very
elite	A select group of people or class in society.
score	Musical notation showing all parts arranged one underneath the other.
tre	three
cross-stick	Using a drumstick, this is played by laying the stick across the drumhead with the end of the stick extending past the rim
folk music	1
mezzo piano	half-gentle
allegro agitato	a moderately rapid tempo, and in agitated style.
enfatico	emphatically
con amor	with love, tenderly
center pins	The small hinge pins that join two moving parts like a hammer and its flange.
inharmonicity	The acoustic property of an instrument that is its natural deviation from a theoretical state of perfection which gives the instrument its characteristic sound.
leitmotiv	light motive”; A short thematic musical passage representing a character or situation in a musical drama
largo un poco	slow, but not so slow as largo
sul ponticello	on the bridge; i.e., in string playing, an indication to bow (or sometimes to pluck) very near to the bridge, producing a characteristic glassy sound, which emphasizes the higher harmonics at the expense of the fundamental; the opposite of sul tasto
per	for
aria	Lyric song for solo voice with orchestral accompaniment, generally expressing great emotion.
bar	a musical rhythmic measure (shown by a vertical line).
contralto	against high
immer	always
lib	This is short for 'libretto' and is the text or script of a musical.
resistance	Refusal to comply (often secretively) with the established order or authority.
afficonado	affectionate”; a Spanish term for a passionately knowledgeable individual.
twelve-tone	See serialism.
ballet	A theatrical dance form with a story, sets, and music.
repetition spring	The metal spring that gives strength to the repetition lever for lifting the hammer.
repetition	The process in which the piano action resets itself in order to play again.
fugue	A highly complicated contrapuntal form in which two or more voices are built around a single theme
gaudioso	with joy
baby grand piano	A popularly used, non-technical term to describe any grand piano less than six feet long.
lent	slow
2x10"	...with two ten-inch loudspeakers
verismo	"Realism" in Italian
moto	motion; usually seen as con moto, meaning with motion or quickly
riitmico	Rhythmically.
reinforced hammers	Hammers where the hammer felts have been stapled to the core as well as glued
ad libitum/ad lib.	At pleasure – left to the performer
lento di molto	very slowly.
arioso	in the style of an air or song, i.e., a flowing, vocal style.
affrettando	"hurrying," pressing onwards.
leggiero	"lightly", "delicately"
decay	The sound of the string as it diminishes or dies away.
facile	"easily"
tanto	So much
un poco	A little
peu	little
rit.	an abbreviation for ritardando;[3] also an abbreviation for ritenuto[4]
drama giocoso	Comic operatic style developed by Goldoni, in which serious and comic characters share the stage
crew	People manning a ship.
measure	Another name for a bar.
travesti	Italian for "disguised"
animé	animated, lively
electronic tuner	A battery-powered device used to tune instruments.
vittorioso	"victoriously"
viola	viola
très	very
go-bar	A flexible piece of wood used to apply pressure for clamping while gluing one piece of wood to another within two solid points.
y-cable	a cable with three ends, whereby one plug is joined to two plugs
head voice	A vocal technique whereby the sung tone is raised from the chest (where it is normally produced) into the head, where the skull causes the tone to ring out
con moto	with movement
shackles	Metal hoops and chains put round the necks, wrists and necks of (usually male) slaves to restrain them.
tone	The cumulative presence of a sound while experiencing its various attributes in order to make a determination of how pleasing the sound is the listener.
tristamente	sadly.
amoroso	"loving".
niente	"nothing", barely audible, dying away
a piacere	at pleasure; i.e., the performer need not follow the rhythm strictly
zarzuela	A Spanish popular musical theatrical presentation blending dialogue and music in skits and dramas ranging from one to three acts that satirize aspects of daily life
con amore	with love
sonata	sounded
major	One of 2 modes of the tonal system
quadruplet	A group of four notes, played in the time of three
conductor	One who directs a group of performers
andante pastorale	moderately slow, and in simple and unaffected style; (lit
concertino	little concert
verismo	truth”; A theatrical style in the late 1800s that depicted ordinary, everyday characters in melodramatic situations
ornaments	Decorations, embellishments
philanthropy	Love of mankind
viola d’amore	love viola
gioioso	gaily
l'istesso tempo	Same speed
entr’acte	between the act” A musical composition played between the acts or between scenes; also a term used to mean Intermission.
amabile	amiable or pleasant
ralantir	slow down
hammer felt	The wool cloth used as the striking surface of the hammer.
restatement	See recapitulation.
outer rim	The outside of a grand piano cabinet.,
form	Musical term referring to the structure of a piece of music
tuning pin bushings	The small wood lining for the inside of the hole in the plate in which the tuning pin sits
molded flanges	Flanges routered to fit the action rail on a Steinway grand piano.
agitato	agitated
poco	Little
ballabile	danceable
bel canto	the nineteenth-century Italian operatic style of singing.
con forza	with force.
mezzo forte	Moderately loud.
innig	intimately, heartfelt
bellicoso	"warlike," aggressive
ritardando	to slow
alto	Lowest female voice part in a choir group
ecossaise	A Scottish dance in 3/4
letoff	The point during the hammer stroke at which the jack slips out from under the knuckle thereby preventing the hammer from blocking against the string.
colossale	tremendously
giusto	Exact, correct
ridicolosamente	humorously, inaccurate, and loosely
ternary form	A movement in three parts in which the first and third parts are very similar, with a contrasting middle section (A B A).
appoggiatura	a note dissonant with the chord (made consonant by moving up or down one step)
a cappella	One or more singers performing without instrumental accompaniment
musical director	In complete control of the music in the production, under the overall control of the Director
composer	the individual who writes the music and sets the text to music including the orchestrations, the vocal parts, and the chorus parts.
nobilmente	nobly
humoresque	a capricious, fantastic composition
tosto	rapidly
mobile	"flexible", "changeable"
con celerita	with rapidity.
homophony	A musical texture with one voice (or melody line) accompanied by chords; also used as an adjective (homophonic)
allargando	broadening, becoming a little slower each time
grave	Serious and slow
come prima	like the first (tempo), as before
accent	Emphasis on a note
assignment	Legal transfer.
bar	a measure of music in equal proportions
l'istesso	see lo stesso, below
prejudice	A preconceived opinion
raw materials	Material from which manufactured goods are made.
fuoco	"fire"; "con fuoco" means "with fire."
virtuoso	A person with notable technical skill in the performance of music.
cantabile	singable”; a term that asks the performer to sing or play in a gentle singing manner.
tertian	A chord structure built of thirds.
strum	Dragging a pick or the back of your fingernails across the strings in a single, quick motion.
sotto	subdued
camerata	A group of Florentine writers and one musician who regularly met in the late 1600s to discuss art and experiment with art form
pastoral	A composition whose style is simple and idyllic; suggestive of rural scenes.
mosso	moved
primo	"first."
classical	The period in music history that falls after the Baroque and before the Romantic: ca
risoluto	Boldly.
repeat sign	In musical notation, a combination of one thick and one thin vertical line with two dots that tells you that you repeat some portion of the song.
allegro appassionata	a moderately rapid tempo, and in passionate style.
style galant	a highly embellished 'courtly' style of eighteenth-century music.
bis	twice
d.s.	 Dal Segno (see above)
alberti bass	a stereotyped accompaniment taking its name from Domenico Alberti.
divisi	getragen (Ger): sustained
bass	Lowest male voice often associated with characters of authority or comedy.
ternary form	a three-part form in which the third part repeats the first.
sign	see segno
simile	In the same way.
libero	"(I) liberate"
mg	see main gauche
alzate sordini	lift or raise the mutes; i.e., remove mutes
una corda	"one string"  a directive in piano music for the musician to depress the soft pedal, reducing the volume of the sound
sordino	Mute
hygrometer	An inexpensive device that tells you the relative humidity of a room with a good degree of accuracy (close enough to maintain a healthy guitar, anyway).
lento a capriccio	slowly but capriciously.
fortississimo or fff	as loud as possible
renaissance	A period in history dating from the 14th to 16th centuries
a niente	to nothing; an indication to make a diminuendo to pppp
hammer head	The portion of the hammer comprised of the felt and the wooden core that is attached to the hammer shank.
legacy	Something handed down by a predecessor.
b	German for B flat (also in Finnish, Icelandic and Danish); H in German is B natural
lacrimoso	tearfully; i.e., sadly
con forza	with force
counter-tenor	The highest male voice (also known as alto).
attacca	attach
a cappella	in the manner of chapel music, without instrumental accompaniment.
diminished 7th	a chromatic chord not belonging to a specific key (often used fo dramatic disorientating effect)
migrant	A person who migrates, or moves from one place to settle in another, especially abroad.
con grazia	with grace.
con grand' espressione	with great expression.
appoggiatura	leaning
forzando or fz	see sforzando in this list
ziemlich	fairly, quite, pretty, or rather
12-bar blues	By far the most popular form for the blues, created by following a 12-bar blues pattern of three lines per verse, with the first line repeated.
tempo comodo	At a comfortable speed
pizzicato	pinched, plucked; i.e., in music for bowed strings, plucked with the fingers as opposed to played with the bow; compare arco (in this list), which is inserted to cancel a pizzicato instruction
senza sordini	without mutes
buzz roll	Another name for Multiple Bounce Roll, but often times played in a more closed fashion so that the sound is like ripping paper.
contrapuntal	two or more melodic lines woven together
nobile or nobilmente	in a noble fashion
neck	The long wooden piece that connects the headstock to the body of a guitar.
toccata	a brilliant composition for piano or organ, usually characterized by much rapid staccato playing.
eroico	"heroically"
pitch	The specific wavelength frequency of a musical sound indicated as a letter from A to G with or without a sharp (#) or flat (b).
skin	The drum skin is a circular plastic film that is spread across the top and bottom of a drum
allargando	"broadening," "getting a little slower."
sempre marcatissimo	always well marked, i.e., strongly accented.
espressione	Expression.
col arco	with the bow
enfatico	"emphatically"
strascinando or strascicante	indicating a passage should be played in a heavily slurred manner
shoe	An hardwood insert at the bottom of the key at the balance rail hole used to reinforce the soft pine wood of the key.
delicato	delicately.
bourrée	A 17th-century French up-tempo dance.
tempo giusto	in strict time
omaggio	homage, celebration
crescendo poi diminuendo	first increase, then diminish the tone.
ein wenig	A little
alla zingara	in gypsy style.
maestro sostituto	Deputy master
domestic servant	Household servant.
fantasia	An instrumental composition not based on any regular form.
note.	Correct notation must be made a habit rather than a theory, and in order to form the habit of writing correctly, drill is necessary
moins	less
legato	Word to indicate that the movement or entire composition is to be played smoothly.
légèrement	lightly
vivo	lively
intimo	intimately
sfz	made loud; i.e., a sudden strong accent
brightness	The clarity of sound produced.
bruscamente	"brusquely".
g.p.	Grand Pause, General Pause; indicates to the performers that the entire ensemble has a rest of indeterminate length, often as a dramatic effect during a loud section
maestro collaboratore	Collaborating master
expression	'expressive' playing (Italian = espressivd) usually means adopting a certain amount of flexibility in relation to dynamics and rhythm; the tension created by the resulting unpredictability is felt to convey the player's personal emotion.
flamenco	A musical style that originated in Spain and was designed to accompany flamenco dancing.
corda	A string
non	not
silenzio	silence; i.e., without reverberations
agile	"swiftly"
contrary motion	Moving in opposite directions
encore	Additional song(s) or item(s) performed due to audience request, as indicated by resounding applause or noise, after the last song of a concert or performance
affrettando	Hurrying.
bagatelle	A fairly short, simple composition.
volta subito	Turn the page quickly.
house right	The right side of the area of the theatre where the audience sits from the point of view of a person sitting in a seat facing the stage.
en dehors	prominent (emphasised melody)
diva	‘goddess’; A female opera star of rank or pretension.
soft pedal	The popular name for the una corda pedal which shifts the action to the side causing the hammers to hit two strings instead of three
bridge	Made of hardwood (maple), the bridge is the link between the strings and the soundboard
giocoso or gioioso	gaily
fantasy	Type of composition unlike formal music, but where form is unimportant and suggests extemporisation.
port	Town or city posessing a harbour.
immediate bend	A bending effect that is caused by playing a note and then immediately bending it up.
tambour	a drum
zart	Delicate
comprimario/a	con primario, with the first
mais	but
bluing of tuning pins	A coating formed from oxidation on steel tuning pins that helps prevent rust and helps keep pins secure in the pinblock.
piano	gentle
muster roll	A list of all the crew on ships giving details of the position, age, and home town of each crew-member.
counterpoint	2 or more melodic lines playing simultaneously
contralto	“against high” (contra alto); The lowest female voice
campana	bell
segue	The next section follows without a break or continue without stopping.
con anima	With deep emotion.
chromaticism	The use of chromatic intervals
serioso	"seriously"
larghetto	Faster than Largo
con larghezza	with broadness; broadly
stage right	This is right from the point of view of the person on stage facing the audience.
breve	Note equal to two semibreves
volante	flying
parlando	well accented or enunciated; applied to melody playing
troppo	too much; usually seen as non troppo, meaning moderately or, when combined with other terms, not too much, such as allegro [ma] non troppo (fast but not too fast)
siciliana	a Sicilian dance in 12/8 or 6/8 meter[6]
feroce	"ferociously"
harmonic progression	The succession of chords in a piece of music
empfindung	feeling
fret	1
harmonics	The sounds produced by a single string that are consonant to the fundamental sound which have structure and can be used in aural tuning.
lo-tom	The lo-tom is a drum with skins on both sides of the drum
sprechgesang	Literally "speechsong", a singing style midway between song and speech
volume pedal	A pedal inserted between the electric guitar and the amp that lets you control how loud your electric guitar sounds.
ben	"well" (as in ben marcato = well marked).
arioso	airy, or like an air (a melody); i.e., in the manner of an aria; melodious
lacrimoso	"sadly" (literally "tearfully")
capriccio	A caprice (in a free, light-hearted style)
encore  	A piece of music played at the end of a recital responding to the audiences enthusiastic reaction to the performance, shown by continuous applause.
messa di voce	in singing, a controlled swell, i.e
meno	"less"; see meno mosso, for example, under mosso.
interlude	Piece of music played between other pieces.
note-row/tone-row	A row of 12 notes arranged in any order to form a composition
grave	slowly and seriously
embouchure	The positioning of the lips in relation to the mouthpiece for woodwind and brass players
minimalism	First used in connection with American composers such as Philip Glass, John Adams and Steve Reich, who rejected the complexities of the European avant-garde in favour of music which was constructed from repeating cycles or additions of small phrases
lentando	with increasing slowness.
afficonado	“affectionate”; a Spanish term for a passionately knowledgeable individual.
sound hole	The opening on the top of an acoustic guitar that amplifies the guitar's sound.
entr’acte	“between the act” A musical composition played between the acts or between scenes; also a term used to mean Intermission.
decresc.	same as diminuendo or dim. (see below)
racism	Belief in the superiority of a particular race
spinto	Italian for "pushed"
delicato	Delicately
con alcuna licenza	with some degree of license.
lamentando	"complaining"
hymn   	A song of praise and glorification
naturals	as opposed to sharps, naturals are signified by the white keys on the piano keyboard (sharps are usually signified by black keys).
avec	with
alla	to the, in the manner of (al before masculine nouns, alla before feminine)
strophic	A term used to describe a song or aria in which the same music is used for each verse, eg "Nessun Dorma".
con fuoco	with fire
melos	melody
voll	Full.
hammer molding	The wooden core of the hammer head.
major and minor	see key
lentando	slowing
fresco	freshly
bitonal	Music that uses two keys at the same time
music video	Video tape or film that accompanies a recording, usually of a popular or rock song.
malinconico	melancholy
fortepiano	Loud then immediately soft
third inversion	A seventh chord with the 7th as the lowest tone.
idyl	a short, romantic piece of music in simple and unaffected style.
col. con	With.
basso	low
crown of the soundboard	The crown is how much the center of the soundboard rises above being perfectly flat
repetition	A phrase, or melodic module, is repeated verbatim.
brioso or con brio	"vigorously."
music theory	A way to explain and describe the music we hear.
fertility	having many children
marcato	Marked, accented.
legato slide	Playing a note at one fret and then, withoug repicking the string, sliding your finger to a different fret while maintaining pressure on the string.
gesamtkunstwerk	Literally "total work of art"
con amor	"with love"  Tenderly.
a capella	Unaccompanied vocal music
pentatonic	music based on a scale of five notes (such as found in many traditional musical cultures).
cédez	yield, give way
verismo	“truth”; A theatrical style in the late 1800s that depicted ordinary, everyday characters in melodramatic situations
desiccant	A powder or crystal substance that draws humidity out of the air, lowering the local relative humidity level.
secco	"(I) dry"
circle of fifths	A tool used by musicians to determine the relationship between major and minor keys.
con melinconia	with melancholy.
lunga	long (often applied to fermatas)
mazurka	Polish dance in triple measure.
pastorale	in simple and unaffected style, (lit.—pastoral, rural).
voicing	Also called tone regulation, a process where the technician attempts to achieve a consistent and pleasing sound from one hammer to the next across the entire keyboard.
triple counterpoint	Three melodic parts interwoven
entr’acte	This is the name given for another performance, as of music or dance, provided between two acts of a theatrical performance.
legato	smoothly.
aria	air
