cable	A molding design resembling intertwined rape.
moderne	American style of furniture in the 1930's that derived from Europe's Art Deco and International Style
manifestation	 The appearance or taking of form of an entity
metate	The stone basin, often trough-shaped, or lower part of a stone-milling assembly for grinding maize or other foods.
iconology	the study of the meaning or content of a larger program to which individual works of art belong.
typescript	a typed manuscript.
english renaissance	The progressive Renaissance architecture of Italy was out of bounds to most English artists and patrons
clickable image map	A graphic or photo containing "hot spots" that, when clicked, link you to another Web location.
click rate	See click-through rate.
plow station	In in-line ink-jetting, a mechanical device positioned after the caliper that opens books as they move along the binding line
climap project	The CLIMAP Project was developed in the 1970s by the National Oceanic and Atmospheric Administration
logo	short for logotype
dmax l dmin	The points of maximum/minimum density in an image or that a device can capture.
cap line	An imaginary horizontal line running across the tops of capital letters.
spread	(1) Two pages that face each other and are designed as one visual or production unit
m	The ratio of the maximum frequency reflected once from an ionospheric layer over a 3000 km range to the critical frequency of the layer.
static neutralizer	A device on a printing press that minimizes the amount of static buildup on paper as it passes through the press.
offset printing	Most commonly used for books
fertile crescent	An upland zone in Southwest Asia that runs from the Levant to the Zagros Mountains, with adequate rainfall and many wild species that were domesticated.
archaeologist	A professional scholar who studies the past using scientific methods with the goal of recording, interpreting, and preserving knowledge of ancient and contemporary cultures
luxuriant	growing profusely in amount
biennial plant	Biennial plants are a type of plant which grows well for a year without flowering
stripper	Person who works in a stripping department.
format	The type size, style, shape, layout or organization required of a layout or printed product.
finish size	Size of printed product after production is complete.
organology	the study of musical instruments (not just organ|s); alternatively, the study of anatomical| organ|s
contre jour	Taking a picture with the camera lens facing the light source.
reticulation	The formation of a coarse, crackled surface on the emulsion coating of a film during improper processing
user bits	Portion of time code (VITC and LTC) reserved for recording information of the user's choosing, e.g., Keycode numbers, footage count, etc.
chalking	A term used to describe the quality of print on paper where the absorption of the paper is so great that it breaks up the ink image creating loose pigment dust.
footer	information, such as page number or chapter title, that appears at the bottom of every page.
printer’s spread	Two facing pages in the order they will be printed, e.g
fit	The registration of images within a given page.
reserve	Minimum threshold price a seller will accept to sell a lot at auction
signature	In printing and binding, the name given to a printed sheet after it's been folded
contingency allowance	See contingency reserve.
gateleg table	A table where the folding leaf is upheld by a leg swinging out lake a gate
beierlology	the study of stalkers
ribbed vault	a vault constructed of arched diagonal ribs, with a web of lighter masonry in between.
acquisition	The events or activities undertaken to obtain new customers
custom message	In ink-jetting, a personalized image that is unique to each book.
double parallel	Also called digest fold
dui	"Da Vinci User Interface"
campaign management	A marketing campaign is a set of promotions that are directed at a specific group of customers to get them to behave in a certain way
border	a continuous decorative design or rule surrounding the matter on the page.
laser type	Type made using a laser printer
computer-aided software testing	Automated testing performed during the software life cycle.
compliance	Adhering to all standards, procedures, or processes established as necessary for operational effectiveness
thirty -two sheet	A poster size measuring 120in x 160in (3048mm x 4064mm).
cardiff giant	The Cardiff Giant was a famous nineteenth century hoax, which paid off handsomely to its perpetrators.
newton ring	Flaw in a photograph or halftone that looks like a drop of oil or water.
foes	The maximum ordinary mode radiowave frequency capable of vertical reflection from the sporadic E layer of the ionosphere.
proofreading marks	Standard set of signs and symbols used in copy preparation and to indicate corrections on proofs
bond paper	A grade of writing or printing paper where strength, durability and performance are essential requirements; used for letterheads, business forms, etc
au	The mean distance between the Earth and Sun equal to 1.496 x10"m
x-ray flare termination	The end time is defined as the time the flux has decayed to 1/2 the peak flux of the event.
camera-ready art	The finished page elements that are ready for printing.
coatepec	Coatepec, or Snake Mountain, is a mountain sacred to the Aztecs/Mexica, as the birthplace of the Aztec patron deity Huitzilopochtli.
element	One part of an image or page
coleopterology	the study of beetles
production workflow	A sequence of production steps required to produce any printed item.
white noise	sounds including the entire spectrum of tones as white includes the entire spectrum of colors
coxcatlan cave	Coxcatlan Cave is a rockshelter in the Tehuacan Valley of Mexico, and it was occupied by humans for nearly 10,000 years.
post bind	To bind using a screw and post inserted through a hole in a pile of loose sheets.
vandyke	Brown print
zoom	1
resolution	In general, this refers to how sharp and clear an image looks on screen or on paper, and how much detail you can see
safe action area	The area of a viewing monitor deemed to be visible on all domestic television sets and therefore safe for capturing movement
hominid	A term that refers to the human members of the primates, both fossil and modern forms.
strain	melodic section of a march or tag
shaman	A tribal priest who, following much preparation and rite of initiation, uses the forces of magic to effect healings and divinations.
mock up	An example of what the final product may look like
scales: pentatonic	five-note scale
centimeter	Metric measurement of length
sculpture in the round	freestanding sculptural figures carved or modeled in three dimensions.
mesolithic	The middle Stone Age period in the Old World, beginning around 10,000 years ago and situated between the
lymphology	the study of the lymph system and glands
mechanical artist	Alternate term for Production artist.
flat	Stripped film ready for platemaking.
canon	a set of rules, principles, or standards used to establish scales or proportions.
cast	An undesirable tinge of color in an image.
shingling	Allowance, made during paste-up or stripping, to compensate for creep
tint	Screening or adding white to a solid color for results of lightening that specific color.
herbology	the study of the therapeutic use of plants
domestication	A process by which human beings tame wild animals and change the nature of plants
population pressure hypothesis	Lewis Binford’s theory that population increase in Southwest Asia upset the balance between people and food, forcing people to turn to agriculture as a way to produce more food.
pagination	The numbering of pages in a book.
adfluvial	Produced by river action; occasionally used in reference to fish that mature in lakes and migrate upstream into tributaries to spawn.
partial halo	A partial halo is a CME spanning greater than 120 degrees of solar latitude at the limb and encompassing at least one of the solar poles
terminus ante quem	Latin: "limit before which"
colophon	Derived from a Greek term meaning "finishing touch," it denotes a page at the end of a book traditionally listing details about the authorship and publication of the book
box	(1) A section of text marked off by rules or white space and presented separately from the main text and illustrations
reconstructing plains culture	Archaeological plains cultures and the methodological and theoretical issues involved in the use of archaeological reconstructions of the past
x-ray burst	A temporary enhancement of the x-ray emission of the Sun
d region	A daytime region of the Earth’s ionosphere beginning from approximately 40 km to 90 km altitude
audit trail	An established method for tracing the changes made to pictorial or text data during each stage of processing.
appreciation gifts	Also known as âSurprise and Delights.â Rewards that are sent to customers without âearning themâ through points or other specific behaviors
web break	A tear in a web roll during the printing process.
effects	1
axiology	the study of the nature of values and value judgements
mediums	 Persons who claim they can communicate with and even rely messages from deceased persons
magnetosphere	The magnetic cavity surrounding a magnetized body, carved out of the passing solar wind by virtue of the magnetic field, which prevents, or at least impedes, the direct entry of the solar wind plasma into the cavity.
fountain solution	Mixture of water and chemicals that dampens a printing plate to prevent ink from adhering to its non-image area.
circa	A Latin word meaning "about" or "around." It is used in reference to dates when the exact age of something cannot be known but can be approximated
basing	The process of creating or decorating the base of your figure
bit	Binary Digit
viewing booth	Also called a color booth, where the lighting is conditioned and calibrated for proper viewing of color printed on a sheet.
work print	In a motion picture studio or processing laboratory, a rough print of a motion picture film used for editing and study of action and continuity.
chancel	Early and medieval churches were carefully made up of different sections
perceived funding rate	The perceived rate at which customers earn points and rewards in a loyalty program.
charnel house	A house in which the bodies of the dead are placed.
advanced geoarchaeology	Critical evaluation of case studies and field examples to explore analytical methods and interdisciplinary theoretical approaches used in geoarchaeology
electronic page assembly	Assembly and manipulation of type, graphics, and other visual elements on a computer screen.
cognitive walkthrough	A testing methodology in which the developer walks through an interface in the context of the user’s tasks, compares actions and feedback to the user’s goals and knowledge, and notes discrepancies.
stucco	A type of plaster, often made out of lime, used for decoration.
basilica	(a) in Roman architecture, an oblong building used for tribunals and other public functions; (b) in Christian architecture, an early church with similar features to the Roman prototype.
c/a	Change of Address
fine papers	Papers made specifically for writing or commercial printing, as compared to coarse papers and industrial papers
mug shot	A small photo showing a person's face.
herpetology	the study of reptiles and amphibians
hieroglyphs	The pictographic symbols of ancient writing systems minerals and rocks which make up the crust of the earth.
base sheets	Base sheets are preprinted shells that will be used later
vitc	âVertical Interval Time Codeâ
flora	Plant remains found on archaeological
burst	A transient enhancement of the solar radio emission, usually associated with an active region or flare.
tags	HTML codes, enclosed in brackets, containing formatting information, anchors, etc.
erratic	irregular, uneven
bandwidth	The range of frequencies a circuit will respond to or pass through
cost	The cash value of project activity; that is, the value associated with materials and resources expended to accomplish project objectives
totem pole	A pole or post that has been carved and painted with totems or figures, such as animals, that serve as the emblems of clans or families
continuous tone	Image made of non-discernable picture elements which give appearance of continuous spectrum of gray values or tones.
cpic	Capital planning and investment control.
total station	An optical surveyor's instrument that combines a transit and an electronic distance measuring device
human variation and adaptation	Some of the major problems involved in interpreting modern and recent human diversity
ultrahigh frequency	That portion of the radio frequency spectrum from 300 MHz - 3 GHz.
environment	A term used on da Vinci DUI systems to refer to all parameters saved on a session to session basis, but not a scene to scene basis
efflorescence	Powdery white salts crystallized on the surface of a wall as a result of moisture evaporation.
mesopotamia	The flat plain between the Tigris and Euphrates Rivers in southern Iraq where the world’s first civilization developed.
digitized information	Text, photographs and illustrations converted into digital signals for input, processing and output in an electronic publishing system.
bandwidth	The capacity of a network to carry data, usually expressed in bits per second (bps).
deck	A small headline running below the main headline; also called a drop head.
mull	Coarse muslin glue placed on the back of book or pads for strengthening.
dtp	Direct to Plate
common gateway interface	A standard that allows a web page to request that its host server activate a script (for example, an email feedback form).
personology	a variant of physiognomy
caddoan culture	Caddoan culture is the name given to farmers in the Arkansas River Valley of the central southern United States and southwestward between about 1100-400 BP (years before the present).
relief printing	A printing method where the ink is higher in some areas than others
acoustics	science of sound
column inch	a measure of area used in newspapers and magazines to calculate the cost of display advertising
dormer window	Usually small, these windows are found in roofs lighting attic rooms
agora	the open space in an ancient Greek town used as a marketplace or for general meetings.
score	crease put on paper to help it fold better.
proximal end	A term that relates to the manufacture of stone tools
buffer	Device for temporary storage of a signal, usually in a queue for further processing.
warm color	A color with a reddish tone rather than a blue tone
lomas	(Spanish) Vegetation that is supported by fog in otherwise arid environments.
row	series of tones on which a serial composition is based
neonatology	the study of diseases and the care of newborn infants; a branch of pediatrics/paediatrics
sector boundary	In the solar wind, the area of demarcation between sectors
kwim	Know what I mean?
atmospheric perspective	see aerial perspective.
leading	Space between lines of type expressed as the distance between baselines
white	The color formed by combining all the colors of light (in the additive color model) or by removing all colors (in the subtractive model)
greek cross plan	Church floor plan with four equal arms
coronal rain	Material condensing in the corona and appearing to rain down into the chromosphere as observed in H-alpha at the solar limb.  Rarely observed and usually seen following the impulsive phase of a large limb flare.
cable paper	A strong paper used to wrap electrical cables.
accordion fold	A type of paper folding in which each fold runs in the opposite direction to the previous fold creating a pleated or accordion affect.
unders - under run	A quantity of printed copies below the number specified in an order (possibly within a previously noted margin of error).
anthro	Of or relating to humans
margin	Space forming border of a page or sheet.
hum	Unwanted interference at mains supply frequency or a harmonic thereof.
address	(1)A character or group of characters that identifies a particular part of computer storage or some other data source or destination
tabloid	a page half the size of a broadsheet.
digital	A form in which everything is defined by a series of ones and zeros (Bits).
acanthus	a Mediterranean plant with prickly leaves, supposedly the source of foliage-like ornamentation on Corinthian columns.
chunking	Grouping information into related small sets for readability and short-term retention.
bar code	Pattern of vertical lines of varying thickness identifying details of a product, conforming to the Universal Product Code (UPC).
even smalls	The use of smaller sized capitals at the beginning of a sentence without the use of larger sized capitals.
jogger	A vibration machine with a slopping platform to even-up stacks of printed materials.
vision mixer	(British) Vision Switcher
fenestration	A word used to describe the window arrangement of a building
teaser	An eye-catching graphic element, on Page One or section fronts, that promotes an item inside; also called a promo.
reconstruction	A reconstruction can be a way to test a hypothesis or an interpretation
autecology|	the study of the ecology of any individual species
art	All copy used in preparing a printed piece
work and tumble	Method of printing where pages are again imposed together
altar	The holiest part of a church, used primarily for the Eucharist
density	The amount an object absorbs or reflects light is called " density level." High-density objects absorb or stop light; low-density objects reflect or transmit light.
mimeograph bond	Highly absorbent paper made for the mimeograph method of printing.
vanishing point	in the linear perspective system, the point at which the orthogonals, if extended, would intersect.
buffer	A digital camera's internal memory, which stores an image immediately after it was taken until the image can be written to the camera's nonvolatile(semi-permanent) memory or a memory card
cross-selling	The strategy of promoting additional products to current customers, often based on their past purchases
canon	polyphonic composition in which all the voices perform the same melody beginning at different times
betacam sp	Sony analog component video tape format
lettershop	Alternate term for Mailing service.
style	Characteristics of appearance used to classify objects into groups
assembled view	In illustration; a term used to describe a view of a drawing in its assembled or whole format.
woodfree paper	made from chemical pulp only with size added
color shift	Change in image color resulting from changes in register, ink densities or dot gain during four-color process printing.
grippers	Mechanical fingers that pull the paper through the printing unit of a press.
color bars	The little squares at the edge of a press sheet where density readings of inks are taken during the press run.
mull	A specific type of glue used for books binding and personal pads needing strength.
bud	A bud is a shoot which comes off a plant, flower, shrub or tree which contains a flowering shoot
orphan	A short word or phrase that's carried over to a new column or page; also called a widow.
ng	âNo Goodâ
metallic ink	Ink containing powdered metal or pigments that simulate metal.
ionogram	A plot or record of the group path height of reflection of ionospherically returned (echoed) radio waves as a function of frequency.
frequency	rate of a sound wave's vibration
wet rot	(Coniophora puteana et al.)
arris	The sharp external edge where where two surfaces meet at a point.
ductor roller	The roller between the inking and dampening rollers.
music theater	staged drama including instrumental and vocal music and sometimes dance
château	French word for a castle or large country house.
manor	specifically, the district over which a lord had domain in medieval western Europe; in general, any landed estate.
soil characteristics and formation	Characteristics of soils and the processes and factors of soil formation
award issuance	The exchange of member points into awards for which the member has qualified.
ruling	See Screen ruling.
focus	To adjust the lens to produce a sharp image.
flush left	Type aligning vertically along the left side of the column
laser printing	Method of photocopying using a laser beam to charge the drum.
carbon black	A pigment made of elemental carbon and ash.
pounced	The decorative technique of treating the metal surface with a dotted texture
x-ray	Radiation of extremely short wavelength (generally less than 1 nm).
symbolism	An art style developed in the late 19th century characterized by the incorporation of symbols and ideas, usually spiritual or mystical in nature, which represent the inner life of people
colonnette	a small, slender column, usually grouped with others to form cluster piers.
characteristics of ancient civilizations	Ancient civilizations sometimes evolve from simpler societies; this much is apparent
back dirt	The excavated, discarded material (sediment, dirt) from a site that has generally been sifted for artifacts and is presumed to be of no further archaeological significance
resident fish	Fish that spend their entire life in a limited range of habitats, such as fresh water.
positive film	Film that prevents light from passing through images, as compared to negative film that allows light to pass through
molinology	the study of windmills, watermills and animal engines.
web	The roll of paper that is used in web or rotary printing.
composite print	A motion picture print with both picture and sound on the same strip of film.
jitter	Random picture instability, usually of the whole frame.
pixel	The smallest dot you can draw on a computer screen (short for "picture element").
render wrangler	The job title of the systems engineer in charge of a render farm of networked computers on which rendering applications are run.
fuzz	A term for the fibers that project from the paper surface.
compass rose	used to show direction on a map
forbush decrease	An abrupt decrease, of at least 10%, of the background galactic cosmic ray intensity as observed by neutron monitors
justify	the alignment of text along a margin or both margins
tracking	The transfer of ink from one area of the printed product to an area it is not wanted
killology	the study of human beings killing other human beings (Grossman|'s theory)
verso page	The left-hand or even-numbered page of an open book or spread.
laryngology	the study of the larynx, or voice box; a branch of medicine
hyperventilation	excessive breathing
shingling	Allowance made to compensate for creep
jpeg	A name for a kind of computer image file, abbreviation for Joint Photographic Experts Group
base film	The foundation material onto which the film positives are stripped for making printing plates
readable	Characteristic of messages that are written and edited and set in type selected and composed to make them easy to understand.
avebury	Avebury is an ancient megalithic site, dated to the Late Neolithic period and located in central south England.
customer acceptance criteria	The criteria the customer will use to determine if he/she is satisfied with the final deliverables.
cosmology	Cosmology is the intersection between astronomy and religion; many if not most prehistoric cultures studied the movement of the stars and planets as part of a religious rituals.
cost-effectiveness analysis	A systematic quantitative method for comparing the costs of alternative means of achieving the same stream of benefits or a given objective.
brace	A character " }" used to group lines or phrases.
lake dwelling	Former name for Early Neolithic lakeshore settlements originally thought to have been built over the water.
self mailer	A printed item independent of an envelope
standing headline	Headline whose words and position stay the same issue after issue, such as "President's message." Also called slug.
baptistery	Room in a church where the font is stored and baptisms are performed, generally near the west door
cpi	Cost performance index.
fold marks	Markings at top edges that show where folds should occur.
e region	A daytime region of the Earth’s ionosphere roughly between the altitudes of 90 and 160 km
electronic image assembly	Assembly of a composite image from portions of other images and/or other page elements using a computer.
terabyte	One trillion bytes or more accurately 2^40 = 1,099,511,627,776
aes/ ebu	The standard for digital audio defined by the Audio Engineering Society and the European Broadcasting Union, now adopted also by ANSI (American National Standards Institute)
densitometer	Instrument used to measure density
pneumology	a synonym of Pulmonology
plate wear	The loss of image on the plate during the course of the press run, due to such causes as overpacked blankets, forms set too tight to the plate, abrasive paper, etc.
ballad opera	English dramatic form in which humorous and satirical texts were set to popular tunes
pictograph	A written or painted symbol that more or less portrays the represented object
business reply card	Preaddressed card meeting postal regulations for size, caliper, bar coding and prepayment
electrojet	(1) Auroral: A current that flows in the ionosphere in the auroral zone
smoothed sunspot number	An average of 13 monthly RI numbers, centered on the month of concern
hd1	Single channel uncompressed HDTV Digital Disk Recorder from da Vinci, compatible with SDTV and HDTV video.No longer available.
tampu	A roadside lodging and storage place (principally for food, fodder, firewood, and other commodities) along the Inca road system, placed roughly one day’s walk apart.
foil embossing	Stamping a thin sheet of metalic foil onto a sheet of paper and then embossing a pattern under it, creating a three dimensional raised area, usually text or an image
amplified fragment length polymorphism	(AFLP)
corner marks	Marks on a final printed sheet that indicate the trim lines or register indicators.
dx coding	Coding printed onto film cassette denoting speed, length, etc
asphalt	Black, tar-like substance, designed to be impervious to moisture
gazelle	One of several species of small to medium swift and graceful antelopes native to Asia and Africa.
backlighting	A lighting effect produced when the main light source is located behind the subject
furnish	The slurry mixture of fibers, water, chemicals and pigments, that is delivered to the Fourdrinier machine in the paper making process.
gutter	the central blank area between left and right pages.
pms	PMS stand for Pantone Matching System, an ink matching system to produce a specific ink color
extremely high frequency	That portion of the radio frequency spectrum from 30-300 GHz.
transect	A linear area of land from which samples are taken in order to determine the presence or absence of archaeological material in the region.
limited edition	An edition of an art print or book that is limited in number
ranged left/right	successive lines of type which are of unequal length and which are aligned at either the right or left hand column.
blurb	A description or commentary of an author or book content positioned on the book jacket.
uniformitarianism	principle that holds that the earth was formed and has evolved through the same natural geological processes operating today.
bulla	(Latin, pl
search query	A search query is a term that is typed into a search text box
camera obscura	a dark enclosure or box into which light is admitted through a small hole, enabling images to be projected onto a wall or screen placed opposite that hole; the forerunner of the photographic camera.
margin	The white space around the edge of the page.
bitmapped	An image formed (or appearing to be formed) by a rectangular grid of pixels
ethnology	cross-cultural, comparative study of aspect of various cultures; part of the subfield of sociocultural anthropology.
chalcolithic period	The Chalcolithic is the name given to the period in the Near East and Europe after the Neolithic and before the Bronze Age, between about 4500 and 3500 BC.
dado	The bottom one metre or so of wall clad with timber, originally designed to provide protection to the wall, and also covering the area most likely to be affected by rising damp
altamira cave	Altamira Cave is the Sistine Chapel of Paleolithic Art, or so it is called.
purl	Personalized Uniform Resource Locator is a personalized Internet address such as http://www.specialtyprintcomm.com/firstname.lastname.
closed economy	Equity programs whose hard benefits are provided exclusively in the form of the sponsor's product/service.
orthochromatic	Any light sensitive surfaces that are not sensitive to red.
byline	is a credit line for the author of an article.
planographic printing	Printing method whose image carriers are level surfaces with inked areas separated from noninked areas by chemical means
coreldraw	A vector drawing application used to create line-art drawings, such as illustrations and logos.
ming dynasty	Ruled China in the fourteenth century, closed trade with outsiders
isometric projection	an architectural diagram combining a ground plan of a building with a view from an exterior point above and slightly to one side.
brazier	An open pan or ceramic vessel used for holding hot coals.
emulsion	A liquid suspension where oil and water are mixed together, suspending the oil in the water
relative dating	A technique used to estimate the antiquity of archaeological materials, generally based on association with materials of known age or simply to say that one item is younger or older than another.
modem	a device for converting digital data into audio signals and back again
eschatology	a branch of theology concerned with the final events in the history of the world or of mankind
mail piece	The entire contents of a piece of literature that is mailed to an address.
subduction zones	Places where the crust of the earth is destroyed when one plate slides under another
densitometer	A photoelectric instrument that measures transmitted or reflective light
celestial	A term which refers to something of, or relating to: heaven, the divine, or the spirit
crossover	A term used to describe the effect of ink from an image, rule or line art on one printed page, which carries over to another page of a bound work.
work for hire	Creative work for which the creator agrees that the client owns the copyright to the finished product.
levant	A mountainous region paralleling the eastern shore of the Mediterranean, including parts of the countries of Turkey, Syria, Lebanon, and Israel.
parasitology	the study of parasites
pencil test	An animation of simple pencil lines, to test the way elements move and interact.
igneous	A type of rock produced by volcanic action.
steward	Someone who takes action to preserve and/or protect archaeological remains. 
spiral wire	A type of mechanical binding using a continuous wire of corkscrew or spring-coil form run through round holes punched into the binding edge.
hierarchical	A term referring to societies that have a graded order of inequality in ranks, statuses, or decision makers
ppi	Abbreviation for Pages Per Inch
paleoanthropology	the study of prehistoric people and human origins
limnology	the study of fresh water environments, particularly lakes
cpm	CPM is an acronym for Cost Per Mil, which stands for cost per thousand
printing unit	The sections on printing presses that house the components for reproducing an image on the substrate
verso	A term referring to left-hand or even-numbered pages of a book.
active surge region	An active region that exhibits a group or series of spike- like surges that rise no higher than 0.15 solar radii above the limb
stylus	A sharpened, wooden implement with a wedge-shaped tip used for making cuneiform inscriptions
album paper	A wood pulp paper with an antique finish used for pages of photo albums.
preprint	To print work in advance to be ready for inserting or imprinting.
cold color	Any color that moves toward the blue side in the color spectrum.
futurology	the study of the future
cultural evolution	a theory similar to biological evolution, which views human cultures as changing gradually throughout time as a result of various cultural processes.
deltiology	the study of, but more often the collecting of picture postcards
orphan	A word, or part of a word appearing alone at the end of a paragraph
enamel	A hard, glassy element consisting of colored glass ground up fine in oil and applied as decoration to an object, typically either of metal or glass, and then fused on with heat.
burn out	1) A loss of information in highlights usually as a result of a system clip or limit
nimbus	The disc representing a halo on apostle spoons.
fan fold	Paper folding that resembles the style of an accordion or fan; folds are placed at alternate, parallel directions.
ainu	The Ainu are modern hunter-fisher-gatherer group of the Hokkaido region of northeastern Japan.
cycle-time reduction	Any activity that reduces the time it takes an organization to produce a product or deliver a service by minimizing waiting time, eliminating activities that do not add value, increasing parallel processes, or speeding up the decision processes within an organization.
crannogs	Dwellings built on lakes in Ireland and Scotland
ancient mexico	Ancient cultures of Mexico, excluding the Maya, from their beginnings to the historic period
bit stream	A continuous series of bits.
sedentism	Living in permanent, year-round contexts, such as villages.
thermography	a print finishing process producing a raised image imitating die stamping
aerial reconnaisance	The technique of searching for sites and features, both cultural and natural, from the air, often using aerial photography or the human eye
guglio	an obelisk -- that is, a tapering column of stone, square or rectangular rather than cylindrical, and topped by a pyramid -- often acting as a fountain.
pinholing	Small holes (unwanted) in printed areas because of a variety of reasons.
retaining wall	A wall built to hold back a bank of soil.
below the line	Opposite of âabove-the-line.' Promotional channels such as direct mail, telemarketing, electronic media, displays, leaflets and brochures, and sales promotion and other media.
mockup	Alternate term for Dummy.
uv coating	A liquid coating applied to a printed sheet
adze	A heavy, chisel-like tool.
under-development	Giving too short a developing time, using too low a temperature, too great a dilution or old or exhausted solutions
d dcs	Abbreviation for desktop color separation, a format for four PostScript files for a color image.
gathered	Signatures assembled next to each other in the proper sequence for binding
sheet-fed press	Press that prints sheets of paper, as compared to a web press.
storage	Nonvolatile devices, including hard disk drives and floppy drives, used to store computer information or programs.
isp	The Internet Service Provider is the company that hosts or stores web pages.
composition	The arrangement of the main subject, other objects in a scene, and/or the foreground and background.
crash printing	Letterpress printing on carbon or carbonless forms so image prints simultaneously on all sheets in the set.
postnet	Postal numeric coding or the barcode system that codes the delivery destination information and 9-digit zip code on letter-size and flat-size mail.
kiss die-cut	A method for cutting the top layer of a thin sheet of paper without cutting the bottom layer.
chirand	Chirand is a stratified Neolithic, Chalcolithic, and Iron Age settlement in the eastern Ganges Valley of Bihar in northern India, between about 2500-AD 30.
glissando	expressive slide between pitches
frequency	The number of times an ad runs in the newspaper (or other media) in a given amount of time.
archaeological record	The physical remains produced by past human activities, which are recovered, studied, and interpreted by archaeologists to construct knowledge of the past.
file format	The way that a digital image is stored
coca	Coca, from whence natural cocaine comes, has been used in South America for thousands of years.
static grass	Static grass is used in basing miniature figures create realistic looking grass
wan	Wide Area Network.
copy	(1) For an editor or typesetter, all written material
pithouse	A prehistoric semisubterranean dwelling in which the lower parts of the walls are the earthen sides of a shallow pit; the top parts of the walls often consisted of a framework of poles intertwined with small twigs, covered with mud.
share-of-market	The percentage of business (transactions or dollar volume) that one company has as compared to the total business available from all competitors within a category.
character piece: nocturnes	piece expressing the "character" of night
cradle-to-grave	The total concept of a procurement from inception through development, procurement, performance, and final disposition.
flotation	A method of extracting carbonized plant remains, shells, small bones, and insect remains from ancient soils and sediments
contextual inquiry	A semi-structured field interviewing method, generally used at the beginning of the design process, that has four principles: focus - planning based on a clear understanding of your purpose; context - watching customers perform in their own workplace; partnership - talking to customers about their work and uncovering undiscovered aspects; and interpretation - developing a shared understanding about the most important aspects of the work.
artwork – art	Images, including photos and type that is set-up for printing on press.
ci	Configuration item.
nose perf	A perforation made at the nose fold of a product instead of slitting, used particularly on signatures and tabloids which trim.
matte	Surface finish of a substrate that is not shiny like a gloss.
web stretch	The increase in the width of the web across the grain as it moves from unit-to-unit in multi-color printing
chi-square test	A family of distributions commonly used to test for statistically significant relationships in a data set.
manuscript	a handwritten book produced in the Middle Ages or Renaissance
benedictine	Order of monks or nuns living according to the Rule of St Benedict.
vfx	Visual effects, usually done in post production and often computer generated at least in part.
concept musical	musical show presenting ideas subject ot the audience's interpretation and leaving situations unresolved
atmospherics	Also known as ”sferics,” transient radio waves produced by naturally occurring electric discharges (e.g., lightning) in the Earth’s atmosphere.
mpeg	A digital video format developed by the Motion Pictures Expert Group.
control track	Linear signal recorded on videotape as the base reference for the replay servo
positive	a true photographic image of the original made on paper or film.
reredorter	A monastic toilet.
norman	Term used for Romanesque architecture in Britain, which originated in Normandy and arrived in Britain after the Norman invasion of 1066.
assembled view	In illustration, a term used to describe a view of a drawing in its assembled or whole format.
uncoated paper	paper that has not been coated with clay
nested tables	Three or four identical lightweight tables sized from small to largest, each one nesting under the next.
geometric panels	Forming or consisting of regular lines, curves and angles.
trade customs	Business terms and policies codified by trade associations to provide guidelines for contracts.
css	Cascading style sheet file format.
pleasing color	Color that the customer considers satisfactory even though it may not precisely match original samples, scenes or objects.
z-fold	A piece folded inward once and outward once forming the shape of the letter âZ.â
nylon	The first commercially viable synthetic polymer, developed by DuPont in 1935
frame grabber	A device that lets you capture individual frames out of a video camera or off a video tape.
chavezology	study of devil worshipers
ncr paper	Abbreviation for No Carbon Required paper, a brand name for carbonless paper.
diploma	A fine paper made specifically for the printing of diplomas, certificates and documents.
coach	A team builder, mentor, and role model for personal or organizational improvement.
condition	To keep paper in the pressroom for a few hours or days before printing so that its moisture level and temperature equal that in the pressroom.
mark-up	To write up instructions, as on a dummy.
ocn	âOriginal Camera Negativeâ Usually used to refer to film that has been exposed and developed and is therefore the only first generation master of the shot.
breccia	The accumulated materials from cave deposits that harden into a conglomerate rock, including sediments, rocks, and animal bones.
formicology	the study of ants
dither	To fill the gap between two pixels with another pixel having an average value of the two to minimize the difference or add detail to smooth the result.
honours thesis	Thesis normally required of Honours BSc students and also open for credit to other undergraduate Majors
concerto grosso	multimovement composition for orchestra and a small group of solo instruments
japanology	the study of Japanese people
modulation	Mixing a signal with a fixed frequency carrier signal, preparatory to recording.
quality control	The day-to-day operational techniques and activities that are used to fulfill requirements for quality, such as intermediate and final product inspections, testing incoming materials and calibrating instruments used to verify product quality.
cover	rerecording for commercial purposes such as a recording by white musicians of a rhythm and blues hit
community of practice	Groups of people that assume roles based on abilities and skills, rather than titles and hierarchy.
wax-free inks	Printing inks used when UV coating or film lamination is to be applied to a sheet
sidereal	Referring to a coordinate system fixed with respect to the distant stars.
gloss finish	Paper with a coating that reflects light well, as compared to dull- or matte-coated paper
ftp	The high level Internet standard protocol for transferring files.
evil eye	a malicious glance which, in superstitious belief, is thought to be capable of causing material harm.
secure data memory card	A flash memory card format that is gaining acceptance for use in digital cameras and other applications.
empire	Heavy architectural forms, winged chimera, massive bronze mount
shicra	The Inca word for meshed bags containing rocks, used as fill in the construction of ancient Andean structures.
el niño	(Spanish) A warm-water countercurrent that periodically appears off the Peruvian coast, usually soon after Christmas, and alters the normal patterns of water temperature, flow, and salinity
panorama	A broad view, usually scenic
readers pairs	Two consecutive pages as they appear in printed piece.
eps	A common computer format for saving scans, especially illustrations (short for Encapsulated PostScript).
