retainer	Act of a client in hiring an attorney
malice	Intent to commit a wrongful act without just cause or excuse.
disability	Cause for a protective order as described in §15-14-401 C.R.S
plaintiff	A person who brings an action, party who complains or sues in an action
venue	the geographical place or county over which a court has jurisdiction.
time waiver	To relinquish the right to a specific amount of time in which a certain phase of the legal process would normally take place.
negligence	The failure to do something which an ordinary, reasonable, and prudent person under like circumstances would do, or the doing of something which an ordinary, reasonable and prudent person under like circumstances would not do.
title	Legal ownership of property, usually real property or automobiles.
robbery	Felonious taking of another's property, from his or her person or immediate presence and against his or her will, by means of force or fear.
community corrections	Public or privately operated community-based programs holding defendants in the community while providing them opportunities to work, attend school, or perform community services
prima facie	From the Latin: "From first view"; not requiring further support to establish existence, credibility, or validity
battery	An unlawful application of physical force to, or offensive touching of, another without his or her consent.
crim.p.	Abbreviation for "Colorado Rules of Criminal Procedure"
proposition 215	Also known as the "Compassionate Use Act," Proposition 215 permits qualified patients to possess a reasonable amount of marijuana and cultivate a reasonable number of marijuana plants in order to treat a malady for which a physician has recommended the use of marijuana
affirm	To make a solemn declaration; an oath used when a person does not want to swear to the truth of something.
sequester	 To separate
conflict of interest	A clash between public interest and the private pecuniary interest of the individual concerned
right of eminent domain	The government's right to acquire private property for public use.
microfilm	A photographic record on film of printed or other graphic matter.
proximate cause	Act legally sufficient to result in liability
fugitive	Someone who flees or escapes from authorities.
trustee	Person or institution that manages a trust.
waive/waiver	Giving up a legal right voluntarily, intentionally, and with full knowledge of the consequences.
leniency	Recommendation for a sentence less than the maximum allowed.
brain imaging	The process of taking pictures of the living brain.Â  This is done non-invasively, meaning that there is no need for procedures that involve entering the body.
impound	To seize and hold in the custody of the law; generally used in reference to objects or animals rather than people.
default	Failure to fulfill a legal or contractual obligation.
verbatim	Word for word; in the same words.
jurisdiction	The Court’s authority to hear your case
points and authorities	Also known as Ps and As
accused	The person against whom an accusation is made.
psychotherapy	A 'talking treatment' which aims to help people to understand their mental or emotional problems, change behaviour and thoughts or emotions to improve their well-being
obligee	The person who is to receive the benefit of some one else’s obligation, that "someone else" being the obligor.
dominium	Ownership
beneficiary	Person named in a will or insurance policy to receive money or property; person who receives benefits from a trust.
cease and desist order	Order of an administrative agency or court prohibiting a person or business from continuing a particular course of conduct.
battery	The intentional and unjustified touching of another person in a rude, angry or insolent manner
gross negligence	Failure to use even the slightest amount of care in a way that shows recklessness or willful disregard for the safety of others.
usury	The taking of more interest for the use of money than the law allows.
victim	Any person aggrieved by the conduct of an offender
burden of proof	 The duty to prove disputed facts
in pleno	In full
consecutive sentences	Two or more sentences served continuously, one right after another: e.g., consecutive sentences of 10 years and 5 years equal a total of 15 years served
testify	To provide live, sworn testimony in a criminal proceeding
testamentary trust	A trust created by the provisions in a will
redress	To set right; to remedy; to compensate.
petty offense	An offense the penalty for which does not exceed imprisonment for a period of three months or a fine of five hundred dollars.
due process	The regular course of administration of law through the courts
parole	The release of a prison inmate – granted by the U.S
citator	Publication used to trace the history and validity of a legal case by tabulation of some kind.
code	A collection of written laws arranged into chapters, table of contents, and index, and published by legislative authority
subpoena	An order to a witness to appear and testify at a specified time and place.
fugitive	A person who runs away or tries to escape.
informed consent	Except in the case of an emergency, a doctor must obtain a patient's agreement (informed consent) to any course of treatment
intestate	One who dies without leaving a will.
murder	Murder is typically defined as the unlawful killing of a human being with malice aforethought
assume	An agreement to continue performing duties under a contract or lease.
deliberate	To consider all of the evidence and arguments presented in regard to a particular matter.
misfeasance	Lawful act performed in wrongful manner
weight of evidence	The balance or preponderance of evidence; the inclination of the greater amount of credible evidence to support one side of an issue.
suspend	To postpone, stay, or withhold certain conditions for a temporary period of time.
citation to appear	A legal paper requiring the named person to appear in court
bail bond	An obligation signed by the accused to secure his or her presence at trial, which he/she may lose by not appearing for trial
juvenile	A person under the age of 18 years
dependency	A relationship in which one depends on another for support in whole or in part.
compensatory damages	The amount of money to be paid by one person to another which covers only the actual cost or equivalent cost of the wrong or injury caused.
personal representative	The person who administers an estate
witness	One who testifies under oath as to what she/he has seen, heard or otherwise observed.
contingency fee	Also called a contingent fee
inventory	Number of cases in various stages of the court process.
arrears	A debt that is not paid on the due date adds up and accumulates as "arrears"
defamation	The publication of a statement that injures a person's reputation
court administrator	Person who assists the presiding judge in managing the court.
indigent	Generally, this term defines a person who is poor, needy, and who has no one to look to for support.
judicial officer	An officer of a court; someone charged with upholding the law, administering the judicial system.
charter	A city’s organic law
jurisdiction	1
quaeitur	The question is raised
impaired mental condition	A condition of mind, caused by mental disease or defect, which does not constitute insanity but prevents the person form forming the culpable mental state which is an essential element of the crime
property	Means both real and personal property or any interest therein and anything that may be the subject of ownership.
devise	Used as a noun - means a testamentary disposition of real or personal property
notice to appear	A citation or other written notice by law enforcement or the court requiring an individual to appear in court to answer a potential criminal charge against him or her
pro rata	In proportion
premises liability	Liability of landowners or those who are responsible for maintaining the property for activities or conditions occurring on the land.
attorney	A prosecutor in the federal court system.
descendant	All of the individual’s lineal descendants of all generations, with the relationship of parent and child at each generation being determined by the definitions of child and parent contained in the probate code.
good time	Reduction in time served in prison as reward for good behavior.
social worker	A professional who can help you with practical aspects of life, and who will often also have had training in psychological help
third party litigation	Civil suit brought against a person or entity only indirectly responsible for injury or loss, where another individual has direct responsibility
pro tempore	From the Latin: "For the time being" or "temporarily"; referee/commissioner sitting temporarily and provisionally for a judge; same as pro tem.
incompetent	A person lacking the capacity, legal qualification, or fitness to manage personal affairs or to discharge a required duty
affidavit of support	A written statement prepared by a local child support office to record the agreement of parents regarding child support payments.
proof	Quantity of evidence that tends to establish the existence of a fact at issue.
living trust	A trust created during the maker's lifetime
contract	[no-glossary]A written or oral agreement between two or more parties.[/no-glossary]
supervised release	Term of supervision served after a person is released from prison
real property	Land and all the things that are attached to it
incarceration	Imprisonment, confinement in a jail or penitentiary
confirmation	Approval of a plan of reorganization by a bankruptcy judge.
interim order	One made in the meantime, and until something is done.
dissolution	The legal end of a marriage.
ordinance	A law passed by a city, town, parish or county legislative body
calendar	An alphabetical, categorized list of each case to be heard in each courtroom every day
affidavit	A written or printed statement made under oath.
execute	To carry out all terms of a contract
conspiracy	An agreement between two or more persons to commit a criminal act
citation	A reference to a particular authority for a point of law
ward doctor	The psychiatrist responsible for your daily medical care and for prescribing any medication you may need
transfer cases	Cases going from one court or one jurisdiction to another.
costs	An award of money, or expenses, particularly in a civil suit, given by the defeated party to the prevailing party.
dissolution	The act of terminating a marriage; divorce
license suspension	An order issued by the Department of Motor Vehicles stating that a person is not permitted to drive for any purpose for a specified period of time
contempt	An act or omission that obstructs the orderly administration of justice or impairs the dignity, respect, or authority of the court
child abuse	Defined by state statutes
estate tax	Tax paid on an estate as it passes to the heirs.
neurodegeneration	Neurodegeneration is what happens when the cells of the brain and spinal cord deteriorate and are eventually lost
post traumatic stress disorder	If you have experienced a traumatic event, you may develop post-traumatic stress disorder (PTSD) in the days, weeks or months after the incident
duress	The defense that a person committed a crime as a result of pressure or threat from another person
infraction	A violation of law not punishable by imprisonment
cross-complaint/cross-claim	A claim litigated by codefendant(s) or coplaintiff(s) against each other
order of protection	A court order requiring a person to stay away from and not bother or threaten another.
non sequitur	An inconsistent statement, it does not follow
levy	A legal process to obtain property or cash from the judgment debtor to satisfy a judgment.
nolo contendere	A Latin phrase meaning “I do not wish to contend.” Synonymous with guilty
testacy proceeding	A proceeding to establish a will or determine intestacy.
writ of assistance	A court order directing a sheriff or police officer to provide assistance in enforcing another court order (e.g., picking up children and returning them to their lawful custodian, or removing a batterer from a residence).
mandatory	Required, ordered.
statutes of fraud	Laws in most states to protect against false claims for payment from contracts that were not agreed upon
res gestae	Things done; rule under which a remark made spontaneously and concurrently with an incident carries an inherent degree of credibility and is admissible because of its spontaneous nature (excited utterance); an exception to the hearsay rule.
interlocutory	A legal term that means provisional, temporary or preliminary
ab extra	From outside
contempt of court	Any act calculated to embarrass, hinder, or obstruct a court, or calculated to lessen its authority or dignity
undersecured claim	A debt secured by property that is worth less than the amount of the debt.
petty theft	The theft of money, labor, or property of a value less than or equal to $400.00
foreclosure	When a borrower cannot repay a loan and the lender seeks to sell the property.
ab initio	Latin for "from the beginning."
in extenso	At full length
injunction	A court order directing a person to refrain from doing something or ordering the person to do something.
of interest	T
miranda warning	A four-part warning required to be given by police to a criminal suspect who has been arrested before custodial interrogation can take place
restorative justice	Restorative justice is a process whereby the parties with a stake in a particular offense come together to resolve collectively how to deal with the aftermath of the offense and its implications for the future
personal representative	Usually, the executor or administrator of a deceased person.
heir	A person who inherits or receives property from someone who has died.
lien	A charge on specific property that is designed to secure payment of a debt or performance of an obligation
rebuttal	The act of contradicting or overcoming the effect of a presumption or evidence.
conform copies	To receive or endorse file copies of an original document.
allege	To assert a fact in a pleading.
brokerage firm	See definition of Member Firm.
a.r.s.	Arizona Revised Statutes, books containing the laws enacted by the Arizona Legislature.
jointly and severally	Acting together and separately; anyone so liable can sue or be sued with or without others joining in the action.
implead	To sue; to prosecute
summary	Quickly executed.
due process	A fundamental principle of fairness in all legal matters, both civil and criminal, especially in the courts
statutes of limitations	Laws setting deadlines for filing lawsuits within a certain time after events occur that are the source of a claim.
special administrator	An appointment to preserve the estate or to secure its proper administration including is administration in circumstances where a general personal representative cannot or should not act - It may appear to the court that an emergency exists.
quasijudicial	The authority or discretion vested in an officer where that officer's acts partake of a judicial character.
official records	means each instrument that the clerk of the circuit court is required or authorized to record in the series of books called "Official Records" as provided for in s
anorexia	Anorexia nervosa is an eating disorder and a mental health condition
battery	Physical contact intended to harm someone
revoke	To cancel or nullify a legal document.
power of attorney	A document which gives a person the right or authority to make binding decision for another.
chambers	The offices of a judge and his or her staff.
writ of certiorari	An order issued by the U.S
money judgement	Part of a judgment that requires the payment of money.
promissory note	A written document by which one person promises to pay money to another.
extradition – extradite	This is the formal application process whereby the prosecuting authority of one jurisdiction seeks the turnover of a person who has been located in one state to the authorities in another state where that person has been accused of or convicted of a crime
epidemiology	Dealing with the incidence, distribution and possible control of diseases and other factors relating to health.
extortion	Illegally obtaining money or property by force, threat, intimidation, or undue or illegal power.
motion	An oral or written request made by a party to the court for a ruling or an order on a particular point
nunc pro tunc	Now for then; phrase used when an order is issued on one date but is effective as if issued on an earlier date when it should have been issued.
conspiracy	Two or more people joining together for the purpose of committing an unlawful act.
satisfaction	See accord and satisfaction.
home detention	Use of an electronic device to monitor the whereabouts and restrict the activities of a sentenced party in lieu of having the party serve time in jail
vulnerable adult	Adult who is physically or mentally incapable of providing for his/her daily needs.
nka	Abbreviation for "now known as".
law	Rules established by governing authorities to maintain order in a society.
personal representative	Person who administers legal affairs of another because of incapacity or death.
judgment debtor	The person that the judgment is ordered against.
claim	A creditor's assertion of a right to payment from a debtor or the debtor's property.
sanction	An imposed penalty.
valid claim	A grievance that can be resolved by legal action.
rights of the defendant	Various protections given to an accused by statute or constitution such as the right against self incrimination.
statute	Any written law passed by a state or federal legislative body
juvenile	Someone under the age of 18; not considered an adult by the court system.
nunc pro tunc	Now for then
consumer debts	Debts incurred for personal, as opposed to business, needs.
subscription	The act of writing one's name under a written instrument; the affixing one's signature to a document, whether for the purpose of authenticating or attesting it, of adopting it's terms as one's own expressions, or of binding one's self by an engagement which it contains.
privileged communication	Conversation that takes places within the context of a protected relationship, such as that between an attorney and client, a husband and wife, a priest and penitent, and a doctor and patient
third-party claim	An interest or share in levied property.
divorce	The final, legal ending of a marriage by a court order
modification	A change in an existing court order
mitigating circumstance	A circumstance which does not constitute a justification or excuse for an offense, but which may be considered as reducing the degree of moral culpability.
license restriction	An order issued by the Department of Motor Vehicles allowing a person to drive only for a limited purpose or under specified conditions
fraud	A type of criminal offense involving the use of deception or misrepresentation in order to obtain the money or property of another
dr 219	Property Transfer Form used to notify Florida State Department of Revenue of property transactions resulting in tax liabilities being incurred.
distress	The procedure of taking possession of the personal property of another to pay a debt which he owes.
judgment creditor	The person(s) in whose favor a judgment is ordered.
faciendum	Something which is to be done
indigent	Unable by reason of poverty or insufficient financial means to pay.
liquidation	The sale of a debtor's property with the proceeds to be used for the benefit of creditors.
sexual battery	The non-consensual touching of an intimate part of another person for purposes of sexual gratification
contract	an agreement between two or more persons that creates an obligation to do or not to do a particular thing.
enjoin	To command or require; to order that something be stopped.
holographic will	An un-witnessed handwritten will
partition	A court action to divide property
res ipsa loquitur	A Latin phrase that means, "the thing speaks for itself." Refers to situations when it is assumed that a person's injury was caused by the negligent action of another party because the accident was the sort that wouldn't occur unless someone was negligent.
talking therapy / treatment	A general term for treatments which involve talking in individual or group sessions with a trained mental health professional.
information	A written accusation charging a named person with the commission of an offense punishable as a felony
harassment	A term (as used in court) in relation to a pleading called Petition for Injunction Prohibiting Harassment
concurrent sentence	Prison terms for two or more offenses to be served at the same time, rather than one after the other
writ of habeas corpus	A court order compelling a Warden/Sheriff to bring a prisoner before a court at a specific date and time, most frequently to determine whether the prisoner is being held lawfully.   
tenancy in common	A type of joint ownership that allows a person to sell his share or leave it in a will without the consent of the other owners
remand	Send back.
insider	Any relative of the debtor or of a general partner of the debtor; partnership inwhich the debtor is a general partner; general partner of the debtor; or corporation of which the debtor is a director, officer, or person in control.
forgery	Falsely and fraudulently making or altering a document, e.g., a check.
equal protection clause	Portion of the Fourteenth Amendment to the U.S
appearance	Coming into court
collateral	An asset that a borrower agrees to give up if he or she fails to repay a loan.
successor personal representative	A personal representative, other than a special administrator who is appointed to succeed a previously appointed personal representative.
order	A formal written direction given by a member of the judiciary.
sentence	The penalty imposed on someone who has been found guilty of an offence or who pleaded guilty to an offence.
convey	To transfer title to property; to make known or communicate.
randomised controlled trial	RCT's are a type of scientific experiment commonly used in testing healthcare services and medications
negligence	The failure of a person to use that degree of care in a given situation which by law one is obligated to use in order to protect the rights and property of others.
federal public defender organization	As provided for in the Criminal Justice Act, an organization established within a federal judicial circuit to represent criminal defendants who cannot afford an adequate defense
parole/post-prison supervision	When a person is released from prison conditionally he or she is on parole
court of record	Any court that makes a contemporaneous record of the proceedings.
bona vacantia	Goods without an owner
bond	A deed or instrument that binds, restrains, or obligates a person
statute	An act of the General Assembly declaring, commanding, or prohibiting something.
stakeholders	People who have an interest and / or an involvement ('stake') in an organisation, its activities and its plans for the future
illicit	Not permitted or allowed; prohibited; unlawful; as an illicit trade.
indemnity	An obligation to provide compensation for a loss, hurt, or damage.
consensu	Unanimously or, by general consent
blood test	A chemical analysis of a blood sample from a person to determine the percentage of a foreign substance in the bloodstream.
incapacitated person	Any person who is impaired by reason of mental illness, mental deficiency, physical illness or disability, chronic use of drugs, chronic intoxicating or other cause (except minority) to the extent that he lacks sufficient understanding or capacity to make or communicate responsible decisions concerning his person.
case file	The folder that contains the official court documents for a specific case.
collusion	A secret agreement between two or more persons, who seem to have conflicting interests, to abuse the law or the legal system, deceive a court or to defraud a third party
emancipated	Refers to freeing of a child by his or her parents, which involves an entire surrender of the right to the care, custody, and earnings of such child as well as renunciation of parental duties.
false arrest	Arresting an individual without proper legal authority.
case file	a complete collection of every document in a case.
ordinance	The local legislation of a city, town, village, or county written by the local legislative body.
x-ray	An X-ray is a widely used diagnostic test to examine the inside of the body
doubt	Uncertainty of mind; the absence of a settled opinion or conviction; the attitude of mind towards the acceptance of or belief in a proposition, theory, or statement, in which the judgment is not at rest but inclines alternately to either side.
magnum opus	A great work of literature
estate tax	Generally, a tax on the privilege of transferring property to others after a person's death
insider	A director, officer, or person in control of the debtor; a partnership in which the debtor is a general partner; a general partner of the debtor; or a relative of a general partner, director, officer, or person in control of the debtor.
bind	To create a legal obligation upon oneself or upon another.
cease and desist order	An order of an administrative agency or court prohibiting a person or business from continuing a particular course of conduct.
fair market value	The amount for which an item can be sold on the open market by a willing seller to a willing buyer.
cognitive therapy	Psychological therapy in which cognition (thinking) is seen as the most significant factor in psychological problems and their treatment.
proceedings	Generally, the process of conducting judicial business before a court or other judicial officer
juvenile	Person who has not yet reached age (usually 18) at which he/she can be treated as adult for purposes of criminal law.
sum certain	Liquidated damages pursuant to contract, promissory note, law, etc.
court of common pleas	Intermediate original court in some states, including Pennsylvania, that usually has civil and criminal jurisdiction
heirs	Persons who are entitled by law to inherit the property of the deceased if there is no will specifying how it's divided.
incompetent	Person lacking the capacity, legal qualification or fitness to manage personal affairs or to discharge required duty.
willfully	Intentionally, as distinguished from accidentally, carelessly or inadvertently, but not necessarily maliciously.
c.r.m.	Abbreviation for "Colorado Rules for Magistrates"
executor	Personal representative, named in a will, who administers an estate.  Compare administrator.
wrongful detainer	(formerly known as Forcible Entry and Detainer) A proceeding for regaining possession from someone who has wrongfully taken or refused to surrender possession of property.
vice versa	The other way around
mistrial	The termination of a trial before its normal conclusion or a finding that a trial is invalid because of a procedural error
fair comment	Term used in libel law applying to statements relating to matters of public concern made by a writer in honest belief that they are true, even though they are not.
c.m.h.i.p.	Colorado Mental Health Institute of Pueblo
medical malpractice	A physician’s deviation from the applicable standard of care that a similar physician would exercise under the same circumstances.
commit	To send a person to prison, asylum or reformatory pursuant to court order.
moot	An issue which no longer has significance.
copyright	Right to literary property, giving authors, composers and other creators sole control over how that property is used.
phobia	A phobia is an extreme or irrational fear, for example a fear of heights or animals
nonfeasance	Failure to perform an act for which one is legally responsible
terminal	In terms of computers, the point at which input into the computer is carried out or where the computer output is printed or exhibited on an electronic screen.
minor	A person who is under eighteen (18) years of age.
schizophrenia	Schizophrenia is aÂ  mental health condition that causes a range of different psychological symptoms including hallucinations (hearing or seeing things that do not exist) and delusions (believing in things that are untrue).
psychological therapies	Psychological therapies are also known as 'talking therapies' or 'talking treatments'
interlocutory order	Any order given before the final order is issued
points and authorities	Also referred to as "P's and A's"
restitution	The act of making good or giving equivalent of any loss, damage, or injury.
bankruptcy	Statutes and judicial proceedings involving persons or businesses who cannot pay debts and seek assistance of court in getting a fresh start.
libel	Defamatory (false and injurious) written statements or materials, including movies or photographs.
nolo contendere	Also known as simply "nolo"
lis pendens	From the Latin: "A pending suit"; jurisdiction of a court over property until final disposition.
depression	When you're depressed, you may have feelings of extreme sadness that can last for a long time
in forma pauperis	"In the manner of a pauper." Permission given by the court to a person to file a case without payment of the required court fees because the person cannot pay them.
aka	Abbreviation for "also known as".
chambers	judge's office.
statute	A law passed by a legislature.
de novo	From the Latin: "About the new"; trying a matter again as if it had not been heard before.
no contact	A court order requiring someone not to have any communication or interaction with another person.
harassment	Used in variety of legal contexts to describe words, gestures, and actions which tend to annoy, alarm and abuse (verbally) another person.
estate	All properties owned by an individual when he/she dies.
nonfeasance	Failure to act (generally by public official).
class action	A lawsuit in which one or more members of a large group, or class, of individuals or other entities sue on behalf of the entire class
ordinance	Law enacted by a municipality such as a county or city council.
in rem	Procedural term used to designate proceedings or actions in determining the status of a thing or the rights of persons with respect to that thing
quid pro quo	Latin phrase that means "what for what" or "something for something"
mortgagee	He that takes or receives a mortgage.
grand theft	Grand theft in California is defined as a theft of money or property with a value over $400.00
statute	See "Criminal Law".
nunc pro tunc	From the Latin: "Now for then"; used when an order is issued on one date but is effective retroactively.
consolidate	A joining of two or more actions to be tried together.
common pleas court	See Court of Common Pleas.
duty	An obligation or conduct defined in the law as reasonable conduct in light of the perceived risk.
intestate	A person who dies without leaving or having left a valid will.
larceny	Obtaining property by fraud or deceit.
probation	A means of conditionally releasing an individual after trial.
res nulis	Nobody's property
panel	1
implied consent laws	Also called "express consent"
suppress	To stop or put an end to someone's activities
mental health treatment	Special condition the court imposes to require an individual to undergo evaluation and treatment for a mental disorder
moot	Issue previously decided or settled.  Of no practical importance.  Non-issue.
action	A judicial proceeding
ordinance	A regulation established by a local government to enforce, control, or limit certain activities.
chapter 11	A reorganization bankruptcy, usually involving a corporation or partnership
dui	The acronym for "driving under the influence" (also referred to as "DWI" an acronym for "driving while intoxicated") and generally refers to Vehicle Code section 23152(a) (which criminalizes driving under the influence of alcohol or any other controlled substance), and 23152(b) (which criminalizes driving with a blood alcohol concentration at or greater than .08%)
petition	A written request to the court for an order after notice.
right against self-incrimination	Granted by the Fifth Amendment
criminal insanity	Mental condition which renders a person unable to determine right from wrong
peace officer	A person charged with the duty to enforce and preserve the public peace
theft	See larceny.
visitation	The right of a separated or divorced parent to visit a child.
pour-over will	Will that leaves some or all estate assets to existing trust.
electronic monitoring program	An alternative to confinement in county jail which permits an individual to remain out of jail but monitored and confined to the person's home
res judicata	The matter already has been decided; a rule against relitigation of issues.
separation agreement	Written arrangements concerning custody or parental obligation, with child support, spousal maintenance and property division made by a married couple who are usually about to obtain a divorce or legal separation.
prior restraint	Restraint on speech or publication before it is spoken or published
intervenor	The non-requesting spouse in a section 6015 (“Innocent Spouse”) case.
central repository	The Criminal Justice Information System Central Repository of the Department of Pubic Safety and Correctional Services.
companion cases or codefendants	More than one person arrested on the same criminal incident.
nisi	Unless
attorney at law	A person admitted to practice law in his/her respective state and authorized to perform both civil and criminal legal functions for clients including drafting legal documents, giving of legal advice, and representing the client before courts, administrative agencies, boards, etc.
jurisdiction	The authority, capacity, power or right of a court to hear and decide a legal matter
contempt of court	Failure to obey a court order.  A disregard of, or disobedience to, the rules or orders of a judicial body or an interruption of its proceedings by disorderly behavior or insolent language.
sanction	A penalty or other type of enforcement used to bring about compliance with the law or with rules and regulations.
allegation	A statement of a party in a pleading.
personal property	Any movable physical property or intangible property which may be owned
sanction	To concur, confirm, or ratify
law enforcement unit	A State, county, or municipal police department or unit, the office of a Sheriff, the office of a State’s Attorney, or the office of the Attorney General of the State.
harmless error	Error committed during trial which was not serious enough to affect outcome of trial and thus is not grounds for reversal
issue	1
ordinance	Generally, a law enacted by a city or county.
accused	A person or persons formally charged but not yet tried for committing a crime.
judicial	Belonging to or appropriate to the office of a judge; relates to the administration of justice.
extradition	The formal process of delivering a person apprehended in one state to the authorities of the state in which that person has been accused or convicted of a crime.
pharmacology	The study of drugs and their uses and effects.
eminent domain	The right of the state to take private property for public use and provide fair compensation to the owner.
stay	An order stopping a judicial proceeding or execution of a judgment.
forgery	The false making or material altering, with intent to defraud, of any writing which, if genuine, might be the foundation of a legal liability.
comity	A code of etiquette that governs the interactions of courts in different states, localities and foreign countries
judgment debtor	The person who has been ordered by the court to make a money payment as a result of a civil suit.
warrant	Written order from the court directing an officer to arrest a person.
summons	An order to a sheriff or other officer to notify a named person that a civil action has been commenced against him or her and that he or she is required to appear within a specified period and answer the complaint
minor in possession	California law prohibits people under 21 years of age from possessing alcohol
order	A directive of the court, on a matter relating to the main proceedings, that decides a preliminary point or directs some steps in the proceedings
parens patriae	The juvenile justice system of America was formed under the idea of "parens patriae," or "state as parent." The state is deemed to have a responsibility to care for youths who have begun dangerous or criminal life patterns
administrator	1
breath test	A test to measure your breath alcohol content, usually done at a police station or a jail
custody	Physical control of a person
ordinance	A written law enacted by the legislative body of a county, township, or city.
execution	Carrying out some act or course of conduct to its completion
writ of certiorari	 An order issued by the U.S
concur	To agree, act together or consent
trustee	The person or institution that manages the property put in trust.
corpus	Body
levy	A seizure
third party	Person, business or government agency, etc., not actively involved in a legal proceeding, agreement or transaction, but who is somehow involved.
price fixing	When companies conspire to set prices and thus control or interfere with free market competition, they have violated antitrust laws
perjury	The criminal offense of making a false statement under oath.
conservatorship	See guardianship.
trustee	The person who has custody of or control over the funds or other items held in trust.
certified mail	Mail deposited with the US Postal Service, with postage prepaid and return receipt requested.
vicarious liability	When one person is liable for the negligent actions of another person, even though the first person was not directly responsible for the injury
personal jurisdiction	Adjudicative power of a court over an individual.
field sobriety tests	Various roadside exercises that are used by law enforcement officers to determine whether or not a person is likely to have an alcohol content at or above the legal limit
knowingly	With knowledge, willfully, with respect to a material element of an offense.
peace order	An emergency form of relief or an order available to individuals who are experiencing problems with another person, including someone in a dating relationship, a neighbor, or a stranger. 
title	Legal ownership of property.
lack of jurisdiction	Court's lack of power to act in a particular manner or to give certain kinds of relief.
psychiatrist	A medical doctor with specialist experience and qualifications in mental illness and emotional disorders
district	A geographic area of the state for which a district attorney is responsible.
obligor	The person who is contractually or legally, committed or obliged, to providing something to another person, the recipient of the benefit being called the obligee.
sequester	To separate
accused	A person or persons against whom a criminal proceeding is initiated
state	Any state of the United States, the District of Columbia, the commonwealth of Puerto Rico and any territory or insular possession subject to the jurisdiction of the United States.
c.r.s.	Abbreviation for "Colorado Revised Statutes"
state’s attorney	A person authorized to prosecute an offense on behalf of the State or a political subdivision thereof.
post	A Latin prefix meaning "after", as in "post-trial" matters
of attorney	An instrument in writing whereby one person, as principal, appoints another as his agent and confers authority to perform certain specified acts or kinds of acts on behalf of principal.
kissing the book	- The ceremony of touching the lips to a copy of the Bible, used in administering oaths
agent	An attorney in fact under a durable or non-durable power of attorney, an individual authorized to make decisions for another under the "Colorado Patient Autonotomy Act".
residuary legatee	The person or persons named in a will to receive any residue left in an estate after the bequests of specific items are made.
chapter 13	The chapter of the Bankruptcy Code providing for the adjustment of debts of an individual with regular income, often referred to as a "wage-earner" plan
dissent	To disagree
de novo	Latin, meaning "anew." A trial de novo is a completely new trial
deferred payment	The court's granting additional time to pay a fine.
domicile	Place where a person has his/her permanent, legal home
u.s. constitution	the document written by the founders of this country, which establishes the basic structure and functions of the federal government, grants certain specified rights, often called constitutional rights, to the American people, and places limits on the powers and activities of our federal and state governments
business record	A business record is a document maintained in the ordinary course of business
absentee	One who is absent from his usual place of residence or domicile.
vice versa	Reversing the order; conversely.
forfeiture	The loss of money or property resulting from failure to meet a legal obligation.
intestate	Dying without having a will.
equity	A system supplemental to the law.
remand	 Send back.
probation revocation hearing	See parole revocation hearing.
urine test	Chemical analysis of a urine specimen to determine it's alcohol content or the presence of some other drug.
